year,eggs,chicken,copper,nails,oil,wheat
1935,246.66,157.06,2.241235,32.87,11.46,210.14
1936,227.58,156.59,2.419222,27.61,12.75,283.55
1937,214.6,161.21,3.153173,33.19,13.32,352.49
1938,208.41,151.94,2.501726,31.37,13,251.66
1939,181.21,137.47,2.786638,30.41,11.9,180.66
1940,185.67,134.1,2.83394,31.21,11.79,323.39
1941,230.86,153.25,2.816339,29.72,12.55,429.25
1942,266.34,166.02,2.545068,26.86,11.84,435.36
1943,310.29,203.24,2.397661,25.3,11.25,424.63
1944,267.18,194.83,2.35674,24.87,11.15,389.79
1945,303.03,208.18,2.304377,27.18,10.99,362.98
1946,278.46,204.4,2.494685,30.55,11.7,365.56
1947,293.36,171.61,3.295299,30.51,14.01,388.13
1948,283.62,180.87,3.201135,36.91,17.51,447.39
1949,274.26,154.12,2.826679,39.27,17.27,481.22
1950,218.12,133.4,3.100811,40.2,16.9,519.89
1951,265.62,139.22,3.259438,40.7,15.79,525.06
1952,226.7,120.43,3.189695,40.94,15.45,497.16
1953,258,119.53,3.747198,42.44,16.24,508.05
1954,196.98,90.41,3.857203,43.43,16.71,451.48
1955,213.38,100.48,4.813803,46.61,16.77,352.42
1956,209.17,85.16,5.314985,50.06,16.64,371.14
1957,184.5,70.41,3.720137,52.02,17.8,302.85
1958,192.61,70.04,3.143273,51.86,16.87,296.23
1959,155.83,54.59,3.687136,51.43,16.13,284.45
1960,176.32,59.59,3.7923,49.44,15.76,286.1
1961,172.13,48.84,3.500128,48.52,15.66,266.88
1962,161.63,48.78,3.54149,47.56,15.54,271.51
1963,163,47.25,3.499028,46.05,15.3,256.11
1964,157.63,42.9,3.598692,45.71,15.05,259.78
1965,154.5,40.8,3.877224,44.93,14.69,243.45
1966,174.28,43.23,3.833442,40.91,14.39,236.43
1967,135.17,34.23,3.943447,39.62,14.18,232.8
1968,141.36,34.09,4.131995,38.06,13.7,226.41
1969,157.83,38.27,4.48687,38.9,13.66,222.4
1970,145.65,33.9,5.179459,39.83,13.27,241.52
1971,112.06,27.48,4.433407,41.48,13.56,205.09
1972,106.85,31.12,4.229459,43.04,13.14,227.62
1973,170.91,49.16,4.627235,42.64,14.19,360.59
1974,156.26,28.44,5.414209,56.59,22.57,378.85
1975,140.78,26.6,4.120554,60.47,23.09,289.3
1976,148.35,33.02,4.223738,57.55,23.31,321.45
1977,132.61,29.34,3.806381,57.96,22.91,298.97
1978,115.72,27.49,3.521909,56.4,22.36,296.12
1979,116.07,27.67,4.437587,55.27,43.06,291.2
1980,98.76,19.29,4.245079,54.13,64.67,246.31
1981,100.33,17.65,3.198495,53.16,64.68,247.13
1982,89.12,15.43,2.60491,53.83,56.9,237.6
1983,88.67,18.43,2.652212,52.31,48.79,249.05
1984,100.58,22.12,2.220114,50.86,45.21,218.01
1985,76.84,19.88,2.150151,49.51,41.4,201.32
1986,81.1,16.48,2.082608,48.41,22.17,192.78
1987,69.6,14,2.507666,47.36,25.52,184.83
1988,64.55,11.25,3.519489,47.08,20.28,166.84
1989,80.36,17.38,3.648634,47.36,22.87,154.3
1990,79.79,16.45,3.253717,46.7,27.63,147.24
1991,74.79,15.69,2.771897,45.92,22.95,139.44
1992,64.86,15.25,2.643192,45.19,21.35,124.68
1993,62.27,14.64,2.197893,44.64,18.38,113.2
1994,NA,NA,2.514706,44.14,17.15,119.97
1995,NA,NA,2.197013,43.45,18.27,128.81
1996,NA,NA,2.464104,42.2,19.4,128.21
1997,NA,NA,2.587309,NA,20.52,NA
