Week,Barrels
1994 W47,7.431
1994 W48,7.593
1994 W49,8.229
1994 W50,7.933
1994 W51,8.278
1994 W52,7.718
1995 W01,7.134
1995 W02,7.534
1995 W03,7.26
1995 W04,6.976
1995 W05,7.267
1995 W06,7.132
1995 W07,7.398
1995 W08,7.67
1995 W09,7.194
1995 W10,7.548
1995 W11,7.834
1995 W12,7.797
1995 W13,8.195
1995 W14,7.588
1995 W15,7.543
1995 W16,8.156
1995 W17,7.731
1995 W18,7.539
1995 W19,8.052
1995 W20,8.183
1995 W21,7.797
1995 W22,8.46
1995 W23,8.055
1995 W24,7.971
1995 W25,8.489
1995 W26,8.238
1995 W27,7.996
1995 W28,7.866
1995 W29,8.483
1995 W30,8.213
1995 W31,8.402
1995 W32,7.628
1995 W33,8.411
1995 W34,8.206
1995 W35,7.825
1995 W36,8.078
1995 W37,8.249
1995 W38,7.821
1995 W39,7.257
1995 W40,8.106
1995 W41,7.879
1995 W42,7.712
1995 W43,8.103
1995 W44,7.449
1995 W45,8.477
1995 W46,8.021
1995 W47,7.84
1995 W48,7.439
1995 W49,7.949
1995 W50,7.489
1995 W51,8.115
1995 W52,7.035
1996 W01,7.958
1996 W02,7.513
1996 W03,6.949
1996 W04,7.393
1996 W05,7.513
1996 W06,7.52
1996 W07,7.868
1996 W08,7.826
1996 W09,7.338
1996 W10,7.877
1996 W11,7.757
1996 W12,7.9
1996 W13,7.568
1996 W14,7.28
1996 W15,7.804
1996 W16,7.433
1996 W17,8.079
1996 W18,7.592
1996 W19,8.267
1996 W20,7.512
1996 W21,8.08
1996 W22,7.836
1996 W23,7.946
1996 W24,7.957
1996 W25,7.956
1996 W26,8.563
1996 W27,8.015
1996 W28,7.968
1996 W29,8.152
1996 W30,8.067
1996 W31,8.279
1996 W32,7.722
1996 W33,7.818
1996 W34,8.364
1996 W35,8.369
1996 W36,7.843
1996 W37,7.537
1996 W38,8
1996 W39,7.619
1996 W40,7.935
1996 W41,7.637
1996 W42,7.958
1996 W43,7.991
1996 W44,7.682
1996 W45,7.804
1996 W46,8.073
1996 W47,7.883
1996 W48,7.37
1996 W49,7.706
1996 W50,8.355
1996 W51,8.051
1996 W52,7.74
1997 W01,7.122
1997 W02,7.44
1997 W03,7.408
1997 W04,7.265
1997 W05,7.125
1997 W06,7.013
1997 W07,7.53
1997 W08,8.011
1997 W09,7.779
1997 W10,7.417
1997 W11,8.125
1997 W12,7.729
1997 W13,7.492
1997 W14,8.115
1997 W15,7.791
1997 W16,7.914
1997 W17,7.922
1997 W18,8.224
1997 W19,7.765
1997 W20,8.253
1997 W21,8.088
1997 W22,8.154
1997 W23,7.59
1997 W24,8.009
1997 W25,8.557
1997 W26,8.234
1997 W27,8.489
1997 W28,8.606
1997 W29,8.595
1997 W30,8.6
1997 W31,8.29
1997 W32,8.253
1997 W33,8.539
1997 W34,7.922
1997 W35,8.695
1997 W36,8.053
1997 W37,8.215
1997 W38,7.746
1997 W39,8.14
1997 W40,8.379
1997 W41,8.221
1997 W42,8.315
1997 W43,7.741
1997 W44,8.355
1997 W45,8.025
1997 W46,7.793
1997 W47,8.043
1997 W48,7.578
1997 W49,8.437
1997 W50,7.955
1997 W51,8.151
1997 W52,8.201
1998 W01,7.832
1998 W02,7.673
1998 W03,7.779
1998 W04,7.94
1998 W05,7.67
1998 W06,7.673
1998 W07,8.201
1998 W08,8.005
1998 W09,7.662
1998 W10,7.744
1998 W11,8.103
1998 W12,7.753
1998 W13,7.996
1998 W14,8.992
1998 W15,8.031
1998 W16,8.303
1998 W17,8.118
1998 W18,8.19
1998 W19,7.503
1998 W20,8.524
1998 W21,8.337
1998 W22,8.205
1998 W23,8.312
1998 W24,8.103
1998 W25,8.16
1998 W26,8.644
1998 W27,8.755
1998 W28,8.234
1998 W29,8.749
1998 W30,8.125
1998 W31,8.997
1998 W32,8.317
1998 W33,8.981
1998 W34,8.288
1998 W35,8.607
1998 W36,8.713
1998 W37,8.722
1998 W38,7.873
1998 W39,8.359
1998 W40,8.058
1998 W41,8.797
1998 W42,8.049
1998 W43,8.099
1998 W44,8.36
1998 W45,8.195
1998 W46,7.711
1998 W47,8.381
1998 W48,8.313
1998 W49,8.162
1998 W50,8.314
1998 W51,8.588
1998 W52,8.153
1998 W53,8.519
1999 W01,7.385
1999 W02,7.81
1999 W03,8.186
1999 W04,7.866
1999 W05,7.532
1999 W06,8.756
1999 W07,7.948
1999 W08,8.316
1999 W09,8.273
1999 W10,8.451
1999 W11,8.367
1999 W12,8.337
1999 W13,7.959
1999 W14,7.878
1999 W15,8.066
1999 W16,8.923
1999 W17,7.825
1999 W18,8.059
1999 W19,8.761
1999 W20,8.275
1999 W21,8.401
1999 W22,8.193
1999 W23,8.827
1999 W24,8.522
1999 W25,9.045
1999 W26,9.076
1999 W27,8.679
1999 W28,8.622
1999 W29,8.639
1999 W30,8.537
1999 W31,8.644
1999 W32,8.519
1999 W33,8.415
1999 W34,8.81
1999 W35,8.778
1999 W36,8.593
1999 W37,8.504
1999 W38,8.865
1999 W39,8.557
1999 W40,8.433
1999 W41,8.406
1999 W42,8.521
1999 W43,8.532
1999 W44,8.333
1999 W45,8.416
1999 W46,8.404
1999 W47,8.416
1999 W48,7.67
1999 W49,8.557
1999 W50,8.638
1999 W51,8.59
1999 W52,8.851
2000 W01,7.907
2000 W02,7.543
2000 W03,7.919
2000 W04,8.385
2000 W05,7.642
2000 W06,8.375
2000 W07,8.524
2000 W08,8.072
2000 W09,7.608
2000 W10,8.662
2000 W11,8.201
2000 W12,8.384
2000 W13,7.896
2000 W14,8.655
2000 W15,8.557
2000 W16,8.616
2000 W17,8.302
2000 W18,8.679
2000 W19,8.242
2000 W20,8.408
2000 W21,9.075
2000 W22,8.863
2000 W23,8.403
2000 W24,8.895
2000 W25,8.475
2000 W26,8.62
2000 W27,8.519
2000 W28,8.844
2000 W29,8.361
2000 W30,8.614
2000 W31,8.759
2000 W32,8.813
2000 W33,8.786
2000 W34,8.96
2000 W35,8.644
2000 W36,8.573
2000 W37,8.814
2000 W38,8.153
2000 W39,7.819
2000 W40,8.34
2000 W41,8.663
2000 W42,8.604
2000 W43,8.942
2000 W44,8.78
2000 W45,8.216
2000 W46,8.419
2000 W47,8.063
2000 W48,8.233
2000 W49,8.711
2000 W50,8.475
2000 W51,8.4
2000 W52,8.693
2001 W01,7.825
2001 W02,8.225
2001 W03,7.894
2001 W04,7.338
2001 W05,8.589
2001 W06,8.032
2001 W07,7.85
2001 W08,8.187
2001 W09,8.489
2001 W10,8.425
2001 W11,8.484
2001 W12,8.475
2001 W13,8.507
2001 W14,8.306
2001 W15,8.438
2001 W16,8.708
2001 W17,8.404
2001 W18,8.665
2001 W19,8.275
2001 W20,8.917
2001 W21,8.27
2001 W22,8.809
2001 W23,8.428
2001 W24,8.393
2001 W25,8.921
2001 W26,9.036
2001 W27,8.622
2001 W28,9.095
2001 W29,9.176
2001 W30,9.007
2001 W31,8.959
2001 W32,8.671
2001 W33,9.035
2001 W34,8.943
2001 W35,8.612
2001 W36,8.529
2001 W37,8.969
2001 W38,7.834
2001 W39,8.514
2001 W40,8.5
2001 W41,8.766
2001 W42,8.619
2001 W43,8.702
2001 W44,8.797
2001 W45,8.771
2001 W46,8.612
2001 W47,8.868
2001 W48,8.517
2001 W49,8.327
2001 W50,8.622
2001 W51,8.888
2001 W52,8.86
2002 W01,8.288
2002 W02,8.359
2002 W03,8.049
2002 W04,8.184
2002 W05,8.223
2002 W06,8.117
2002 W07,8.428
2002 W08,8.729
2002 W09,8.782
2002 W10,8.277
2002 W11,8.713
2002 W12,8.621
2002 W13,8.386
2002 W14,8.865
2002 W15,8.84
2002 W16,8.684
2002 W17,8.699
2002 W18,8.521
2002 W19,8.548
2002 W20,9.19
2002 W21,8.685
2002 W22,8.778
2002 W23,9.004
2002 W24,8.771
2002 W25,8.752
2002 W26,9.172
2002 W27,9.004
2002 W28,8.985
2002 W29,9.056
2002 W30,9.093
2002 W31,9.297
2002 W32,9.27
2002 W33,8.939
2002 W34,9.173
2002 W35,9.135
2002 W36,8.844
2002 W37,8.899
2002 W38,8.625
2002 W39,8.582
2002 W40,8.895
2002 W41,9.09
2002 W42,8.653
2002 W43,9.022
2002 W44,9.324
2002 W45,8.759
2002 W46,8.54
2002 W47,8.667
2002 W48,9.06
2002 W49,8.616
2002 W50,8.854
2002 W51,9.063
2002 W52,8.989
2003 W01,8.411
2003 W02,8.335
2003 W03,8.645
2003 W04,8.793
2003 W05,8.551
2003 W06,8.106
2003 W07,8.454
2003 W08,8.619
2003 W09,8.421
2003 W10,9.02
2003 W11,8.596
2003 W12,8.666
2003 W13,8.284
2003 W14,8.458
2003 W15,8.64
2003 W16,8.737
2003 W17,8.358
2003 W18,8.834
2003 W19,8.894
2003 W20,8.992
2003 W21,9.299
2003 W22,8.516
2003 W23,8.529
2003 W24,8.88
2003 W25,8.833
2003 W26,9.476
2003 W27,9.05
2003 W28,8.763
2003 W29,9.177
2003 W30,9.563
2003 W31,9.303
2003 W32,9.381
2003 W33,9.325
2003 W34,9.668
2003 W35,9.337
2003 W36,8.886
2003 W37,8.974
2003 W38,9.166
2003 W39,8.69
2003 W40,9.19
2003 W41,9.156
2003 W42,8.754
2003 W43,9.413
2003 W44,9.316
2003 W45,8.995
2003 W46,9.232
2003 W47,8.725
2003 W48,8.979
2003 W49,8.776
2003 W50,8.93
2003 W51,9.166
2003 W52,8.726
2004 W01,8.686
2004 W02,8.411
2004 W03,8.426
2004 W04,8.543
2004 W05,8.514
2004 W06,8.627
2004 W07,8.727
2004 W08,8.796
2004 W09,8.97
2004 W10,8.968
2004 W11,9.044
2004 W12,8.818
2004 W13,8.731
2004 W14,9.249
2004 W15,9.338
2004 W16,8.973
2004 W17,9.255
2004 W18,8.926
2004 W19,9.373
2004 W20,9.119
2004 W21,9.154
2004 W22,9.259
2004 W23,9.045
2004 W24,9.219
2004 W25,9.194
2004 W26,9.199
2004 W27,9.398
2004 W28,9.3
2004 W29,8.84
2004 W30,9.31
2004 W31,9.263
2004 W32,9.472
2004 W33,9.521
2004 W34,9.424
2004 W35,9.267
2004 W36,9.453
2004 W37,9.234
2004 W38,9.005
2004 W39,8.922
2004 W40,8.915
2004 W41,8.917
2004 W42,9.177
2004 W43,8.883
2004 W44,8.977
2004 W45,9.217
2004 W46,9.237
2004 W47,8.988
2004 W48,9.204
2004 W49,9.107
2004 W50,9.268
2004 W51,9.068
2004 W52,9.329
2004 W53,9.287
2005 W01,8.71
2005 W02,8.695
2005 W03,8.881
2005 W04,8.848
2005 W05,8.837
2005 W06,8.825
2005 W07,8.898
2005 W08,8.884
2005 W09,9.014
2005 W10,9.131
2005 W11,9.069
2005 W12,9.075
2005 W13,9.095
2005 W14,9.089
2005 W15,9.17
2005 W16,9.306
2005 W17,9.024
2005 W18,9.175
2005 W19,9.269
2005 W20,9.443
2005 W21,9.461
2005 W22,9.451
2005 W23,9.528
2005 W24,9.313
2005 W25,9.367
2005 W26,9.721
2005 W27,9.391
2005 W28,9.415
2005 W29,9.449
2005 W30,9.586
2005 W31,9.483
2005 W32,9.408
2005 W33,9.471
2005 W34,9.406
2005 W35,9.027
2005 W36,8.636
2005 W37,8.819
2005 W38,8.836
2005 W39,8.84
2005 W40,8.783
2005 W41,8.961
2005 W42,8.981
2005 W43,9.045
2005 W44,9.246
2005 W45,9.151
2005 W46,9.124
2005 W47,9.189
2005 W48,9.221
2005 W49,9.268
2005 W50,9.326
2005 W51,9.249
2005 W52,9.358
2006 W01,8.95
2006 W02,8.859
2006 W03,8.826
2006 W04,8.879
2006 W05,8.967
2006 W06,9.083
2006 W07,9.046
2006 W08,8.951
2006 W09,9.057
2006 W10,9.106
2006 W11,9.1
2006 W12,9.054
2006 W13,9.063
2006 W14,9.297
2006 W15,9.1
2006 W16,9.012
2006 W17,9.099
2006 W18,9.346
2006 W19,9.327
2006 W20,9.193
2006 W21,9.43
2006 W22,9.367
2006 W23,9.413
2006 W24,9.429
2006 W25,9.54
2006 W26,9.645
2006 W27,9.621
2006 W28,9.569
2006 W29,9.573
2006 W30,9.639
2006 W31,9.697
2006 W32,9.53
2006 W33,9.571
2006 W34,9.61
2006 W35,9.622
2006 W36,9.368
2006 W37,9.229
2006 W38,9.287
2006 W39,9.081
2006 W40,9.242
2006 W41,9.298
2006 W42,9.511
2006 W43,9.499
2006 W44,9.256
2006 W45,9.11
2006 W46,9.149
2006 W47,9.32
2006 W48,9.477
2006 W49,9.394
2006 W50,9.491
2006 W51,9.229
2006 W52,9.247
2007 W01,9.201
2007 W02,9.06
2007 W03,9.008
2007 W04,9.09
2007 W05,9.136
2007 W06,9.061
2007 W07,9.198
2007 W08,9.121
2007 W09,9.191
2007 W10,9.158
2007 W11,9.24
2007 W12,9.25
2007 W13,9.491
2007 W14,9.472
2007 W15,9.247
2007 W16,9.163
2007 W17,9.26
2007 W18,9.344
2007 W19,9.404
2007 W20,9.433
2007 W21,9.485
2007 W22,9.495
2007 W23,9.487
2007 W24,9.591
2007 W25,9.575
2007 W26,9.557
2007 W27,9.663
2007 W28,9.71
2007 W29,9.688
2007 W30,9.662
2007 W31,9.575
2007 W32,9.572
2007 W33,9.762
2007 W34,9.626
2007 W35,9.577
2007 W36,9.393
2007 W37,9.247
2007 W38,9.235
2007 W39,9.12
2007 W40,9.2
2007 W41,9.253
2007 W42,9.373
2007 W43,9.355
2007 W44,9.367
2007 W45,9.187
2007 W46,9.222
2007 W47,9.356
2007 W48,9.266
2007 W49,9.348
2007 W50,9.287
2007 W51,9.446
2007 W52,9.286
2008 W01,9.304
2008 W02,9.116
2008 W03,8.964
2008 W04,8.94
2008 W05,8.916
2008 W06,9.02
2008 W07,9.125
2008 W08,9.045
2008 W09,9.071
2008 W10,9.131
2008 W11,9.071
2008 W12,9.116
2008 W13,9.33
2008 W14,9.286
2008 W15,9.338
2008 W16,9.215
2008 W17,9.189
2008 W18,9.311
2008 W19,9.343
2008 W20,9.359
2008 W21,9.373
2008 W22,9.129
2008 W23,9.411
2008 W24,9.251
2008 W25,9.334
2008 W26,9.357
2008 W27,9.347
2008 W28,9.344
2008 W29,9.342
2008 W30,9.468
2008 W31,9.484
2008 W32,9.446
2008 W33,9.423
2008 W34,9.411
2008 W35,9.424
2008 W36,9.09
2008 W37,8.907
2008 W38,8.741
2008 W39,8.73
2008 W40,8.691
2008 W41,8.894
2008 W42,9.065
2008 W43,9.057
2008 W44,9.095
2008 W45,9.002
2008 W46,8.962
2008 W47,8.844
2008 W48,8.933
2008 W49,9.015
2008 W50,9.175
2008 W51,8.867
2008 W52,9.106
2009 W01,8.99
2009 W02,8.758
2009 W03,8.641
2009 W04,8.65
2009 W05,9.015
2009 W06,9.006
2009 W07,8.908
2009 W08,9.01
2009 W09,9.204
2009 W10,8.972
2009 W11,8.955
2009 W12,9.1
2009 W13,9.125
2009 W14,9.024
2009 W15,8.944
2009 W16,9.136
2009 W17,9.151
2009 W18,8.923
2009 W19,8.911
2009 W20,9.232
2009 W21,9.538
2009 W22,9.02
2009 W23,9.141
2009 W24,9.354
2009 W25,9.129
2009 W26,9.053
2009 W27,9.229
2009 W28,9.163
2009 W29,9.255
2009 W30,9.171
2009 W31,9.199
2009 W32,8.951
2009 W33,9.205
2009 W34,9.105
2009 W35,9.478
2009 W36,9.283
2009 W37,9.001
2009 W38,8.79
2009 W39,9.126
2009 W40,9.269
2009 W41,9.256
2009 W42,8.95
2009 W43,8.858
2009 W44,9.015
2009 W45,8.844
2009 W46,9.015
2009 W47,9.092
2009 W48,8.943
2009 W49,9.012
2009 W50,8.963
2009 W51,9.045
2009 W52,9.074
2009 W53,8.741
2010 W01,8.74
2010 W02,8.602
2010 W03,8.619
2010 W04,8.613
2010 W05,8.766
2010 W06,8.521
2010 W07,9.064
2010 W08,8.882
2010 W09,8.992
2010 W10,8.849
2010 W11,9.087
2010 W12,9.06
2010 W13,9.076
2010 W14,9.325
2010 W15,9.152
2010 W16,9.29
2010 W17,9.282
2010 W18,9.14
2010 W19,9.092
2010 W20,9.099
2010 W21,9.174
2010 W22,9.194
2010 W23,9.338
2010 W24,9.241
2010 W25,9.462
2010 W26,9.449
2010 W27,9.08
2010 W28,9.435
2010 W29,9.632
2010 W30,9.477
2010 W31,9.236
2010 W32,9.459
2010 W33,9.375
2010 W34,9.386
2010 W35,9.263
2010 W36,9.019
2010 W37,8.847
2010 W38,9.383
2010 W39,8.989
2010 W40,8.812
2010 W41,8.891
2010 W42,9.358
2010 W43,9.015
2010 W44,9.056
2010 W45,8.952
2010 W46,8.829
2010 W47,8.867
2010 W48,9.171
2010 W49,9.349
2010 W50,9.213
2010 W51,9.399
2010 W52,8.853
2011 W01,8.819
2011 W02,8.775
2011 W03,8.632
2011 W04,8.549
2011 W05,8.524
2011 W06,8.81
2011 W07,9.101
2011 W08,9.162
2011 W09,9.192
2011 W10,8.83
2011 W11,9.074
2011 W12,8.866
2011 W13,8.853
2011 W14,9.181
2011 W15,9.062
2011 W16,9.148
2011 W17,8.943
2011 W18,8.826
2011 W19,9.048
2011 W20,9.025
2011 W21,9.431
2011 W22,9.163
2011 W23,9.37
2011 W24,9.319
2011 W25,9.261
2011 W26,9.309
2011 W27,9.016
2011 W28,9.028
2011 W29,8.999
2011 W30,9.215
2011 W31,9.244
2011 W32,9.195
2011 W33,9.009
2011 W34,9.229
2011 W35,8.956
2011 W36,8.848
2011 W37,8.858
2011 W38,8.964
2011 W39,8.959
2011 W40,9.01
2011 W41,8.598
2011 W42,8.501
2011 W43,8.518
2011 W44,8.671
2011 W45,8.625
2011 W46,8.592
2011 W47,8.769
2011 W48,8.574
2011 W49,8.666
2011 W50,8.879
2011 W51,8.923
2011 W52,8.556
2012 W01,8.179
2012 W02,7.996
2012 W03,8.098
2012 W04,8.018
2012 W05,8.039
2012 W06,8.167
2012 W07,8.628
2012 W08,8.363
2012 W09,8.262
2012 W10,8.415
2012 W11,8.379
2012 W12,8.71
2012 W13,8.783
2012 W14,8.681
2012 W15,8.775
2012 W16,8.496
2012 W17,8.692
2012 W18,8.864
2012 W19,8.971
2012 W20,8.633
2012 W21,8.931
2012 W22,8.648
2012 W23,9.13
2012 W24,8.693
2012 W25,8.846
2012 W26,9.001
2012 W27,8.917
2012 W28,8.628
2012 W29,8.66
2012 W30,8.82
2012 W31,8.839
2012 W32,9.308
2012 W33,9.081
2012 W34,9.064
2012 W35,9.177
2012 W36,8.695
2012 W37,8.632
2012 W38,8.77
2012 W39,8.633
2012 W40,8.587
2012 W41,8.729
2012 W42,8.493
2012 W43,8.844
2012 W44,8.307
2012 W45,8.908
2012 W46,8.898
2012 W47,8.427
2012 W48,8.354
2012 W49,8.488
2012 W50,8.618
2012 W51,8.608
2012 W52,8.518
2013 W01,8.01
2013 W02,8.32
2013 W03,8.431
2013 W04,8.501
2013 W05,8.415
2013 W06,8.404
2013 W07,8.437
2013 W08,8.597
2013 W09,8.364
2013 W10,8.627
2013 W11,8.324
2013 W12,8.399
2013 W13,8.523
2013 W14,8.477
2013 W15,8.383
2013 W16,8.75
2013 W17,8.415
2013 W18,8.445
2013 W19,8.341
2013 W20,8.79
2013 W21,8.956
2013 W22,8.822
2013 W23,8.648
2013 W24,8.84
2013 W25,8.894
2013 W26,9.294
2013 W27,9.299
2013 W28,8.729
2013 W29,8.982
2013 W30,9.147
2013 W31,9.246
2013 W32,9.19
2013 W33,9.2
2013 W34,9.031
2013 W35,9.094
2013 W36,8.605
2013 W37,9.028
2013 W38,8.846
2013 W39,8.527
2013 W40,8.846
2013 W41,9.077
2013 W42,8.797
2013 W43,9.054
2013 W44,9.292
2013 W45,9.032
2013 W46,8.924
2013 W47,8.909
2013 W48,8.873
2013 W49,8.348
2013 W50,9.016
2013 W51,9.176
2013 W52,8.893
2014 W01,8.274
2014 W02,8.021
2014 W03,8.059
2014 W04,8.584
2014 W05,8.452
2014 W06,8.325
2014 W07,8.03
2014 W08,8.535
2014 W09,8.411
2014 W10,8.949
2014 W11,8.512
2014 W12,9.002
2014 W13,8.713
2014 W14,8.996
2014 W15,8.616
2014 W16,8.43
2014 W17,8.693
2014 W18,8.719
2014 W19,9.191
2014 W20,9.174
2014 W21,9.31
2014 W22,9.104
2014 W23,8.624
2014 W24,9.258
2014 W25,8.813
2014 W26,9.168
2014 W27,8.935
2014 W28,9.057
2014 W29,8.792
2014 W30,9.006
2014 W31,9.359
2014 W32,8.922
2014 W33,8.775
2014 W34,9.1
2014 W35,9.48
2014 W36,8.611
2014 W37,8.707
2014 W38,8.781
2014 W39,8.66
2014 W40,8.645
2014 W41,9.043
2014 W42,8.836
2014 W43,8.867
2014 W44,9.162
2014 W45,9.005
2014 W46,9.194
2014 W47,9.254
2014 W48,9.425
2014 W49,8.549
2014 W50,9.373
2014 W51,9.518
2014 W52,9.614
2015 W01,8.809
2015 W02,8.875
2015 W03,8.851
2015 W04,9.022
2015 W05,8.442
2015 W06,8.282
2015 W07,8.809
2015 W08,8.915
2015 W09,8.63
2015 W10,8.515
2015 W11,9.26
2015 W12,8.619
2015 W13,9.435
2015 W14,8.61
2015 W15,8.914
2015 W16,9.185
2015 W17,8.92
2015 W18,8.785
2015 W19,9.201
2015 W20,9.261
2015 W21,9.734
2015 W22,8.978
2015 W23,9.6
2015 W24,9.176
2015 W25,9.655
2015 W26,9.731
2015 W27,9.532
2015 W28,9.404
2015 W29,9.749
2015 W30,9.339
2015 W31,9.687
2015 W32,9.686
2015 W33,9.705
2015 W34,9.189
2015 W35,9.438
2015 W36,9.017
2015 W37,8.983
2015 W38,9.215
2015 W39,9.021
2015 W40,8.958
2015 W41,9.137
2015 W42,9.157
2015 W43,9.343
2015 W44,9.184
2015 W45,9.388
2015 W46,9.054
2015 W47,8.921
2015 W48,9.281
2015 W49,9.42
2015 W50,9.22
2015 W51,9.185
2015 W52,9.395
2015 W53,8.159
2016 W01,8.5
2016 W02,9.079
2016 W03,8.941
2016 W04,8.341
2016 W05,9.122
2016 W06,9.203
2016 W07,9.576
2016 W08,9.121
2016 W09,9.411
2016 W10,9.458
2016 W11,9.503
2016 W12,9.244
2016 W13,9.224
2016 W14,9.633
2016 W15,9.444
2016 W16,9.315
2016 W17,9.502
2016 W18,9.658
2016 W19,9.755
2016 W20,9.516
2016 W21,9.716
2016 W22,9.568
2016 W23,9.762
2016 W24,9.815
2016 W25,9.709
2016 W26,9.755
2016 W27,9.671
2016 W28,9.785
2016 W29,9.797
2016 W30,9.752
2016 W31,9.769
2016 W32,9.762
2016 W33,9.659
2016 W34,9.511
2016 W35,9.595
2016 W36,9.406
2016 W37,9.65
2016 W38,8.88
2016 W39,9.39
2016 W40,9.264
2016 W41,8.798
2016 W42,9.118
2016 W43,9.183
2016 W44,9.213
2016 W45,9.359
2016 W46,9.024
2016 W47,9.08
2016 W48,8.757
2016 W49,8.874
2016 W50,9.269
2016 W51,9.278
2016 W52,8.465
2017 W01,8.47
2017 W02,8.069
2017 W03,8.039
