Quarter,Origin,Arrivals
2002 Q2,NZ,191215
2002 Q3,NZ,226008
2002 Q4,NZ,213000
2003 Q1,NZ,150700
2003 Q2,NZ,203400
2003 Q3,NZ,241800
2003 Q4,NZ,243200
2004 Q1,NZ,188873
2004 Q2,NZ,252262
2004 Q3,NZ,312956
2004 Q4,NZ,278709
2005 Q1,NZ,219527
2005 Q2,NZ,270782
2005 Q3,NZ,325633
2005 Q4,NZ,282908
2006 Q1,NZ,212323
2006 Q2,NZ,269964
2006 Q3,NZ,307149
2006 Q4,NZ,286361
2007 Q1,NZ,219885
2007 Q2,NZ,301654
2007 Q3,NZ,320737
2007 Q4,NZ,295727
2008 Q1,NZ,222770
2008 Q2,NZ,282076
2008 Q3,NZ,304979
2008 Q4,NZ,303481
2009 Q1,NZ,221287
2009 Q2,NZ,275761
2009 Q3,NZ,311431
2009 Q4,NZ,301983
2010 Q1,NZ,228162
2010 Q2,NZ,281791
2010 Q3,NZ,330812
2010 Q4,NZ,320897
2011 Q1,NZ,239103
2011 Q2,NZ,292072
2011 Q3,NZ,311994
2011 Q4,NZ,329470
2012 Q1,NZ,247910
2012 Q2,NZ,301880
2012 Q3,NZ,319840
1981 Q1,UK,45266
1981 Q2,UK,19886
1981 Q3,UK,24839
1981 Q4,UK,52264
1982 Q1,UK,53636
1982 Q2,UK,34802
1982 Q3,UK,31126
1982 Q4,UK,53619
1983 Q1,UK,43423
1983 Q2,UK,23421
1983 Q3,UK,29142
1983 Q4,UK,51771
1984 Q1,UK,44182
1984 Q2,UK,24920
1984 Q3,UK,27566
1984 Q4,UK,48880
1985 Q1,UK,49563
1985 Q2,UK,23867
1985 Q3,UK,25895
1985 Q4,UK,54092
1986 Q1,UK,54903
1986 Q2,UK,26089
1986 Q3,UK,28248
1986 Q4,UK,66813
1987 Q1,UK,61167
1987 Q2,UK,32400
1987 Q3,UK,33287
1987 Q4,UK,72115
1988 Q1,UK,81925
1988 Q2,UK,42091
1988 Q3,UK,46253
1988 Q4,UK,90062
1989 Q1,UK,84191
1989 Q2,UK,48709
1989 Q3,UK,46905
1989 Q4,UK,93075
1990 Q1,UK,81185
1990 Q2,UK,53693
1990 Q3,UK,48037
1990 Q4,UK,94827
1991 Q1,UK,79365
1991 Q2,UK,52961
1991 Q3,UK,42366
1991 Q4,UK,89041
1992 Q1,UK,87850
1992 Q2,UK,57261
1992 Q3,UK,51058
1992 Q4,UK,93736
1993 Q1,UK,95137
1993 Q2,UK,55661
1993 Q3,UK,56400
1993 Q4,UK,103089
1994 Q1,UK,100250
1994 Q2,UK,57464
1994 Q3,UK,61831
1994 Q4,UK,115736
1995 Q1,UK,112684
1995 Q2,UK,64209
1995 Q3,UK,59287
1995 Q4,UK,111719
1996 Q1,UK,108173
1996 Q2,UK,64632
1996 Q3,UK,64742
1996 Q4,UK,129994
1997 Q1,UK,126261
1997 Q2,UK,65146
1997 Q3,UK,74071
1997 Q4,UK,145139
1998 Q1,UK,143115
1998 Q2,UK,82747
1998 Q3,UK,78303
1998 Q4,UK,163356
1999 Q1,UK,160239
1999 Q2,UK,81152
1999 Q3,UK,107941
1999 Q4,UK,179102
2000 Q1,UK,161953
2000 Q2,UK,105394
2000 Q3,UK,107231
2000 Q4,UK,205874
2001 Q1,UK,184901
2001 Q2,UK,107454
2001 Q3,UK,121889
2001 Q4,UK,202988
2002 Q1,UK,206655
2002 Q2,UK,95564
2002 Q3,UK,115950
2002 Q4,UK,224496
2003 Q1,UK,196276
2003 Q2,UK,107563
2003 Q3,UK,125171
2003 Q4,UK,243894
2004 Q1,UK,205423
2004 Q2,UK,111924
2004 Q3,UK,125132
2004 Q4,UK,233761
2005 Q1,UK,235242
2005 Q2,UK,105370
2005 Q3,UK,131141
2005 Q4,UK,237053
2006 Q1,UK,224933
2006 Q2,UK,116211
2006 Q3,UK,123808
2006 Q4,UK,269292
2007 Q1,UK,231686
2007 Q2,UK,108543
2007 Q3,UK,122734
2007 Q4,UK,226031
2008 Q1,UK,230109
2008 Q2,UK,107430
2008 Q3,UK,115758
2008 Q4,UK,218864
2009 Q1,UK,210109
2009 Q2,UK,113973
2009 Q3,UK,116517
2009 Q4,UK,223178
2010 Q1,UK,213568
2010 Q2,UK,99497
2010 Q3,UK,108208
2010 Q4,UK,225395
2011 Q1,UK,188560
2011 Q2,UK,110212
2011 Q3,UK,107089
2011 Q4,UK,202240
2012 Q1,UK,194640
2012 Q2,UK,92970
2012 Q3,UK,101690
1981 Q1,US,32316
1981 Q2,US,23721
1981 Q3,US,24533
1981 Q4,US,33438
1982 Q1,US,33527
1982 Q2,US,28366
1982 Q3,US,30856
1982 Q4,US,33293
1983 Q1,US,32472
1983 Q2,US,32369
1983 Q3,US,37476
1983 Q4,US,38112
1984 Q1,US,42553
1984 Q2,US,41277
1984 Q3,US,33056
1984 Q4,US,44472
1985 Q1,US,47792
1985 Q2,US,43070
1985 Q3,US,41116
1985 Q4,US,65428
1986 Q1,US,59377
1986 Q2,US,53283
1986 Q3,US,48510
1986 Q4,US,85878
1987 Q1,US,84130
1987 Q2,US,64346
1987 Q3,US,65976
1987 Q4,US,96165
1988 Q1,US,78609
1988 Q2,US,69306
1988 Q3,US,86267
1988 Q4,US,92738
1989 Q1,US,73321
1989 Q2,US,59819
1989 Q3,US,60868
1989 Q4,US,67761
1990 Q1,US,67637
1990 Q2,US,56153
1990 Q3,US,58783
1990 Q4,US,69018
1991 Q1,US,63235
1991 Q2,US,56691
1991 Q3,US,85473
1991 Q4,US,66332
1992 Q1,US,69861
1992 Q2,US,61501
1992 Q3,US,57869
1992 Q4,US,73632
1993 Q1,US,76323
1993 Q2,US,62718
1993 Q3,US,64730
1993 Q4,US,77495
1994 Q1,US,81428
1994 Q2,US,63554
1994 Q3,US,66505
1994 Q4,US,78190
1995 Q1,US,83047
1995 Q2,US,67448
1995 Q3,US,69234
1995 Q4,US,85160
1996 Q1,US,84995
1996 Q2,US,71005
1996 Q3,US,71412
1996 Q4,US,89483
1997 Q1,US,87405
1997 Q2,US,73061
1997 Q3,US,79986
1997 Q4,US,89141
1998 Q1,US,101167
1998 Q2,US,85384
1998 Q3,US,82586
1998 Q4,US,104760
1999 Q1,US,113860
1999 Q2,US,92494
1999 Q3,US,95001
1999 Q4,US,115704
2000 Q1,US,118840
2000 Q2,US,107313
2000 Q3,US,131833
2000 Q4,US,130100
2001 Q1,US,126702
2001 Q2,US,113471
2001 Q3,US,105239
2001 Q4,US,101058
2002 Q1,US,121127
2002 Q2,US,97016
2002 Q3,US,102261
2002 Q4,US,114103
2003 Q1,US,112908
2003 Q2,US,94212
2003 Q3,US,102961
2003 Q4,US,112039
2004 Q1,US,114017
2004 Q2,US,101065
2004 Q3,US,105884
2004 Q4,US,112335
2005 Q1,US,122725
2005 Q2,US,104542
2005 Q3,US,107725
2005 Q4,US,111286
2006 Q1,US,123608
2006 Q2,US,109865
2006 Q3,US,107787
2006 Q4,US,114824
2007 Q1,US,124677
2007 Q2,US,108089
2007 Q3,US,107738
2007 Q4,US,119189
2008 Q1,US,128066
2008 Q2,US,99471
2008 Q3,US,111243
2008 Q4,US,115636
2009 Q1,US,119158
2009 Q2,US,105507
2009 Q3,US,118979
2009 Q4,US,136094
2010 Q1,US,127535
2010 Q2,US,105974
2010 Q3,US,111615
2010 Q4,US,127002
2011 Q1,US,125264
2011 Q2,US,101814
2011 Q3,US,101925
2011 Q4,US,127150
2012 Q1,US,129520
2012 Q2,US,105700
2012 Q3,US,106540
