Month,Volume
1969 Aug,4.7619
1969 Sep,4.9404
1969 Oct,5.4135
1969 Nov,5.8582
1969 Dec,6.1981
1970 Jan,6.4474
1970 Feb,5.8412
1970 Mar,6.4701
1970 Apr,6.065
1970 May,5.7449
1970 Jun,4.9942
1970 Jul,5.1443
1970 Aug,5.388
1970 Sep,5.7222
1970 Oct,6.1216
1970 Nov,6.623
1970 Dec,7.2718
1971 Jan,7.1953
1971 Feb,6.3624
1971 Mar,7.0735
1971 Apr,6.4163
1971 May,6.167
1971 Jun,5.5069
1971 Jul,5.8837
1971 Aug,5.9149
1971 Sep,6.0962
1971 Oct,6.5239
1971 Nov,6.7958
1971 Dec,7.6995
1972 Jan,7.8751
1972 Feb,7.6768
1972 Mar,7.8581
1972 Apr,7.3596
1972 May,7.1273
1972 Jun,6.8497
1972 Jul,6.963
1972 Aug,7.0735
1972 Sep,7.3567
1972 Oct,8.1669
1972 Nov,8.3142
1972 Dec,8.9686
1973 Jan,9.0224
1973 Feb,8.1811
1973 Mar,8.759
1973 Apr,8.2009
1973 May,7.725
1973 Jun,7.3397
1973 Jul,7.5012
1973 Aug,7.7788
1973 Sep,7.7562
1973 Oct,8.5947
1973 Nov,8.8666
1973 Dec,9.1641
1974 Jan,9.0422
1974 Feb,8.0621
1974 Mar,8.8666
1974 Apr,8.2462
1974 May,7.8751
1974 Jun,7.3284
1974 Jul,7.4672
1974 Aug,7.7618
1974 Sep,7.2151
1974 Oct,8.1159
1974 Nov,8.2717
1974 Dec,8.8383
1975 Jan,8.8185
1975 Feb,7.9176
1975 Mar,8.8751
1975 Apr,8.1839
1975 May,7.776
1975 Jun,7.4927
1975 Jul,7.8808
1975 Aug,7.5437
1975 Sep,7.3681
1975 Oct,8.2009
1975 Nov,8.4785
1975 Dec,9.0394
1976 Jan,9.0394
1976 Feb,8.4332
1976 Mar,8.9289
1976 Apr,8.2406
1976 May,7.9828
1976 Jun,7.5324
1976 Jul,7.4417
1976 Aug,7.2774
1976 Sep,7.065
1976 Oct,8.3284
1976 Nov,8.5947
1976 Dec,9.2094
1977 Jan,9.4275
1977 Feb,8.436
1977 Mar,9.3907
1977 Apr,8.5975
1977 May,8.4672
1977 Jun,7.6287
1977 Jul,7.4927
1977 Aug,7.7193
1977 Sep,7.8751
1977 Oct,8.4757
1977 Nov,9.0111
1977 Dec,9.9147
1978 Jan,9.8836
1978 Feb,8.5493
1978 Mar,8.9176
1978 Apr,8.2066
1978 May,7.6315
1978 Jun,6.9885
1978 Jul,7.3794
1978 Aug,7.5154
1978 Sep,7.2094
1978 Oct,8.1301
1978 Nov,9.1414
1978 Dec,10.079
1979 Jan,10.3861
1979 Feb,9.2797
1979 Mar,9.3695
1979 Apr,9.0704
1979 May,8.4779
1979 Jun,7.8664
1979 Jul,7.9503
1979 Aug,7.7068
1979 Sep,7.2012
1979 Oct,8.8276
1979 Nov,9.2797
1979 Dec,10.1472
1980 Jan,10.4667
1980 Feb,8.8772
1980 Mar,9.28
1980 Apr,7.7422
1980 May,7.634
1980 Jun,6.8241
1980 Jul,6.96
1980 Aug,7.0926
1980 Sep,6.8148
1980 Oct,8.0561
1980 Nov,8.9385
1980 Dec,10.0549
1981 Jan,9.7207
1981 Feb,8.834
1981 Mar,8.8871
1981 Apr,8.0279
1981 May,7.309
1981 Jun,7.0312
1981 Jul,7.1871
1981 Aug,6.944
1981 Sep,7.0846
1981 Oct,8.2945
1981 Nov,8.6364
1981 Dec,9.8766
1982 Jan,10.5737
1982 Feb,9.1005
1982 Mar,9.1274
1982 Apr,8.1889
1982 May,7.3363
1982 Jun,6.9345
1982 Jul,6.8699
1982 Aug,6.8529
1982 Sep,6.8667
1982 Oct,7.9197
1982 Nov,9.0446
1982 Dec,9.9246
1983 Jan,9.8926
1983 Feb,8.5378
1983 Mar,8.4436
1983 Apr,7.6013
1983 May,6.9464
1983 Jun,6.4744
1983 Jul,6.5638
1983 Aug,6.5996
1983 Sep,7.0979
1983 Oct,7.8357
1983 Nov,8.7917
1983 Dec,10.7124
1984 Jan,10.5179
1984 Feb,8.62
1984 Mar,8.9368
1984 Apr,7.9969
1984 May,7.692
1984 Jun,6.953
1984 Jul,7.2329
1984 Aug,7.2987
1984 Sep,7.3991
1984 Oct,8.5917
1984 Nov,9.7111
1984 Dec,10.7278
1985 Jan,10.8878
1985 Feb,10.109
1985 Mar,10.0308
1985 Apr,8.7854
1985 May,8.1684
1985 Jun,7.4509
1985 Jul,7.3972
1985 Aug,7.46
1985 Sep,7.9639
1985 Oct,8.9585
1985 Nov,10.1481
1985 Dec,11.3796
1986 Jan,11.0386
1986 Feb,9.7654
1986 Mar,9.3167
1986 Apr,8.1464
1986 May,7.8331
1986 Jun,7.3008
1986 Jul,7.4569
1986 Aug,7.4211
1986 Sep,7.7622
1986 Oct,9.048
1986 Nov,9.9553
1986 Dec,10.7079
1987 Jan,10.8455
1987 Feb,9.3094
1987 Mar,10.102
1987 Apr,8.9196
1987 May,8.315
1987 Jun,7.4219
1987 Jul,7.9237
1987 Aug,8.6236
1987 Sep,8.5844
1987 Oct,10.3569
1987 Nov,11.0081
1987 Dec,12.1456
1988 Jan,12.6596
1988 Feb,11.4703
1988 Mar,11.32
1988 Apr,10.2638
1988 May,9.7286
1988 Jun,8.9138
1988 Jul,9.8172
1988 Aug,9.9253
1988 Sep,9.8777
1988 Oct,10.867
1988 Nov,11.5952
1988 Dec,12.4078
1989 Jan,12.3457
1989 Feb,11.5028
1989 Mar,12.1695
1989 Apr,11.2916
1989 May,10.5054
1989 Jun,9.854
1989 Jul,10.4084
1989 Aug,10.3725
1989 Sep,10.4122
1989 Oct,11.3239
1989 Nov,11.6377
1989 Dec,12.908
1990 Jan,12.508
1990 Feb,11.1611
1990 Mar,11.5871
1990 Apr,11.1003
1990 May,10.9631
1990 Jun,10.1271
1990 Jul,10.5513
1990 Aug,10.4668
1990 Sep,10.271
1990 Oct,11.992
1990 Nov,12.135
1990 Dec,13.4248
1991 Jan,13.25
1991 Feb,11.341
1991 Mar,12.4856
1991 Apr,11.9009
1991 May,11.3834
1991 Jun,10.8104
1991 Jul,10.6474
1991 Aug,10.5999
1991 Sep,10.7973
1991 Oct,12.4401
1991 Nov,12.9722
1991 Dec,13.8099
1992 Jan,13.2705
1992 Feb,12.7163
1992 Mar,13.1994
1992 Apr,12.7235
1992 May,12.5501
1992 Jun,11.5166
1992 Jul,12.1364
1992 Aug,12.6521
1992 Sep,12.3929
1992 Oct,13.382
1992 Nov,14.0785
1992 Dec,14.7586
1993 Jan,14.3785
1993 Feb,13.3347
1993 Mar,14.7308
1993 Apr,14.2616
1993 May,13.2363
1993 Jun,13.0995
1993 Jul,14.0387
1993 Aug,13.9153
1993 Sep,13.4265
1993 Oct,14.4461
1993 Nov,14.5121
1993 Dec,15.2108
1994 Jan,15.8034
1994 Feb,14.1257
1994 Mar,15.3173
1994 Apr,14.7663
1994 May,14.7614
1994 Jun,14.3623
1994 Jul,14.8726
1994 Aug,15.1548
1994 Sep,14.3091
1994 Oct,15.4411
1994 Nov,15.7134
1994 Dec,16.4601
1995 Jan,16.7395
1995 Feb,14.7929
1995 Mar,16.5547
1995 Apr,15.922
1995 May,15.6568
1995 Jun,15.0057
1995 Jul,15.3499
1995 Aug,15.5324
1995 Sep,15.0938
1995 Oct,16.2678
1995 Nov,16.1945
1995 Dec,16.9076
1996 Jan,17.1467
1996 Feb,15.6931
1996 Mar,16.7081
1996 Apr,16.0887
1996 May,16.4114
1996 Jun,15.367
1996 Jul,16.1433
1996 Aug,16.0633
1996 Sep,15.519
1996 Oct,16.2804
1996 Nov,16.2668
1996 Dec,17.2538
1997 Jan,17.2706
1997 Feb,15.227
1997 Mar,16.6409
1997 Apr,16.6364
1997 May,16.5376
1997 Jun,15.5824
1997 Jul,16.3594
1997 Aug,16.352
1997 Sep,16.3419
1997 Oct,16.78
1997 Nov,16.3885
1997 Dec,17.3255
1998 Jan,17.9166
1998 Feb,15.8428
1998 Mar,17.4344
1998 Apr,16.7057
1998 May,16.7056
1998 Jun,15.7834
1998 Jul,16.7918
1998 Aug,16.7767
1998 Sep,16.3921
1998 Oct,17.1515
1998 Nov,17.0122
1998 Dec,17.8951
1999 Jan,18.4914
1999 Feb,16.2204
1999 Mar,17.7152
1999 Apr,17.2472
1999 May,17.6876
1999 Jun,16.241
1999 Jul,17.5451
1999 Aug,17.2933
1999 Sep,16.7712
1999 Oct,17.5667
1999 Nov,17.3221
1999 Dec,18.2621
2000 Jan,18.5308
2000 Feb,17.3892
2000 Mar,18.0225
2000 Apr,17.2604
2000 May,17.8613
2000 Jun,17.0309
2000 Jul,17.6762
2000 Aug,17.9805
2000 Sep,17.2073
2000 Oct,18.2651
2000 Nov,18.3323
2000 Dec,19.436
2001 Jan,19.2651
2001 Feb,17.479
2001 Mar,18.6182
2001 Apr,17.8869
2001 May,18.5423
2001 Jun,17.7207
2001 Jul,18.5664
2001 Aug,18.4185
2001 Sep,17.4745
2001 Oct,18.622
2001 Nov,18.1237
2001 Dec,18.7519
2002 Jan,19.3208
2002 Feb,17.2603
2002 Mar,19.2879
2002 Apr,18.2366
2002 May,18.2397
2002 Jun,17.5083
2002 Jul,18.096
2002 Aug,17.793
2002 Sep,17.166
2002 Oct,18.1118
2002 Nov,18.1348
2002 Dec,19.1301
2003 Jan,19.235
2003 Feb,17.2456
2003 Mar,18.4135
2003 Apr,17.4468
2003 May,17.5597
2003 Jun,16.8482
2003 Jul,17.3844
2003 Aug,17.5883
2003 Sep,16.9053
2003 Oct,17.792
2003 Nov,17.72
2003 Dec,19.144
2004 Jan,19.2439
2004 Feb,17.7823
2004 Mar,18.3332
2004 Apr,17.8475
2004 May,18.0935
2004 Jun,17.1657
2004 Jul,17.8783
2004 Aug,17.6412
2004 Sep,16.9067
2004 Oct,17.8268
2004 Nov,17.8322
2004 Dec,19.4526
2005 Jan,19.5284
2005 Feb,16.9441
