Quarter,Region,State,Purpose,Trips
2000 Q3,Adelaide,South Australia,Holiday,145.3610392
2000 Q4,Adelaide,South Australia,Holiday,150.513124
2001 Q1,Adelaide,South Australia,Holiday,160.2282407
2001 Q2,Adelaide,South Australia,Holiday,133.1343279
2001 Q3,Adelaide,South Australia,Holiday,153.773094
2001 Q4,Adelaide,South Australia,Holiday,181.4068405
2002 Q1,Adelaide,South Australia,Holiday,169.0469312
2002 Q2,Adelaide,South Australia,Holiday,114.2086238
2002 Q3,Adelaide,South Australia,Holiday,130.3304208
2002 Q4,Adelaide,South Australia,Holiday,130.4795052
2003 Q1,Adelaide,South Australia,Holiday,146.7703147
2003 Q2,Adelaide,South Australia,Holiday,126.7641332
2003 Q3,Adelaide,South Australia,Holiday,149.4360349
2003 Q4,Adelaide,South Australia,Holiday,111.0500583
2004 Q1,Adelaide,South Australia,Holiday,186.7720696
2004 Q2,Adelaide,South Australia,Holiday,135.9060186
2004 Q3,Adelaide,South Australia,Holiday,112.9890536
2004 Q4,Adelaide,South Australia,Holiday,158.0570262
2005 Q1,Adelaide,South Australia,Holiday,141.6333769
2005 Q2,Adelaide,South Australia,Holiday,120.1251157
2005 Q3,Adelaide,South Australia,Holiday,160.774783
2005 Q4,Adelaide,South Australia,Holiday,149.0777328
2006 Q1,Adelaide,South Australia,Holiday,191.525738
2006 Q2,Adelaide,South Australia,Holiday,163.649515
2006 Q3,Adelaide,South Australia,Holiday,138.133273
2006 Q4,Adelaide,South Australia,Holiday,164.849392
2007 Q1,Adelaide,South Australia,Holiday,185.5543828
2007 Q2,Adelaide,South Australia,Holiday,180.6817518
2007 Q3,Adelaide,South Australia,Holiday,134.4982174
2007 Q4,Adelaide,South Australia,Holiday,155.604757
2008 Q1,Adelaide,South Australia,Holiday,181.779807
2008 Q2,Adelaide,South Australia,Holiday,147.5425818
2008 Q3,Adelaide,South Australia,Holiday,129.5127253
2008 Q4,Adelaide,South Australia,Holiday,152.0620509
2009 Q1,Adelaide,South Australia,Holiday,147.951753
2009 Q2,Adelaide,South Australia,Holiday,150.9474509
2009 Q3,Adelaide,South Australia,Holiday,157.6999575
2009 Q4,Adelaide,South Australia,Holiday,167.0237365
2010 Q1,Adelaide,South Australia,Holiday,190.0186267
2010 Q2,Adelaide,South Australia,Holiday,134.4421162
2010 Q3,Adelaide,South Australia,Holiday,108.0330401
2010 Q4,Adelaide,South Australia,Holiday,159.5471503
2011 Q1,Adelaide,South Australia,Holiday,169.8550653
2011 Q2,Adelaide,South Australia,Holiday,174.7726763
2011 Q3,Adelaide,South Australia,Holiday,109.4812806
2011 Q4,Adelaide,South Australia,Holiday,165.597184
2012 Q1,Adelaide,South Australia,Holiday,169.7142825
2012 Q2,Adelaide,South Australia,Holiday,124.6560046
2012 Q3,Adelaide,South Australia,Holiday,148.6707777
2012 Q4,Adelaide,South Australia,Holiday,153.7400777
2013 Q1,Adelaide,South Australia,Holiday,171.0331777
2013 Q2,Adelaide,South Australia,Holiday,127.9855815
2013 Q3,Adelaide,South Australia,Holiday,130.9978837
2013 Q4,Adelaide,South Australia,Holiday,118.0241892
2014 Q1,Adelaide,South Australia,Holiday,206.9500696
2014 Q2,Adelaide,South Australia,Holiday,171.4180099
2014 Q3,Adelaide,South Australia,Holiday,157.9348363
2014 Q4,Adelaide,South Australia,Holiday,142.6895176
2015 Q1,Adelaide,South Australia,Holiday,211.8851375
2015 Q2,Adelaide,South Australia,Holiday,121.5809453
2015 Q3,Adelaide,South Australia,Holiday,140.6013453
2015 Q4,Adelaide,South Australia,Holiday,188.6698396
2016 Q1,Adelaide,South Australia,Holiday,199.0522891
2016 Q2,Adelaide,South Australia,Holiday,177.1418065
2016 Q3,Adelaide,South Australia,Holiday,154.1169205
2016 Q4,Adelaide,South Australia,Holiday,147.1019643
2017 Q1,Adelaide,South Australia,Holiday,215.9403437
2017 Q2,Adelaide,South Australia,Holiday,201.7341108
2017 Q3,Adelaide,South Australia,Holiday,163.711896
2017 Q4,Adelaide,South Australia,Holiday,214.0530556
1998 Q1,Adelaide,South Australia,Other,58.3626891
1998 Q2,Adelaide,South Australia,Other,39.4687353
1998 Q3,Adelaide,South Australia,Other,38.431629
1998 Q4,Adelaide,South Australia,Other,33.7915233
1999 Q1,Adelaide,South Australia,Other,25.9018459
1999 Q2,Adelaide,South Australia,Other,54.5493233
1999 Q3,Adelaide,South Australia,Other,28.7145367
1999 Q4,Adelaide,South Australia,Other,44.903216
2000 Q1,Adelaide,South Australia,Other,56.4463277
2000 Q2,Adelaide,South Australia,Other,80.9540403
2000 Q3,Adelaide,South Australia,Other,40.340643
2000 Q4,Adelaide,South Australia,Other,47.349627
2001 Q1,Adelaide,South Australia,Other,36.8334712
2001 Q2,Adelaide,South Australia,Other,65.0079823
2001 Q3,Adelaide,South Australia,Other,54.7317678
2001 Q4,Adelaide,South Australia,Other,56.2549271
2002 Q1,Adelaide,South Australia,Other,41.5928159
2002 Q2,Adelaide,South Australia,Other,36.6562369
2002 Q3,Adelaide,South Australia,Other,50.8411344
2002 Q4,Adelaide,South Australia,Other,43.8577248
2003 Q1,Adelaide,South Australia,Other,40.1157815
2003 Q2,Adelaide,South Australia,Other,64.3621483
2003 Q3,Adelaide,South Australia,Other,44.4441751
2003 Q4,Adelaide,South Australia,Other,43.3242303
2004 Q1,Adelaide,South Australia,Other,42.3108254
2004 Q2,Adelaide,South Australia,Other,56.0269055
2004 Q3,Adelaide,South Australia,Other,59.2224325
2004 Q4,Adelaide,South Australia,Other,57.6255736
2005 Q1,Adelaide,South Australia,Other,49.7870409
2005 Q2,Adelaide,South Australia,Other,49.2945724
2005 Q3,Adelaide,South Australia,Other,31.9925869
2005 Q4,Adelaide,South Australia,Other,55.8062237
2006 Q1,Adelaide,South Australia,Other,50.236464
2006 Q2,Adelaide,South Australia,Other,55.449475
2006 Q3,Adelaide,South Australia,Other,54.776388
2006 Q4,Adelaide,South Australia,Other,41.805042
2007 Q1,Adelaide,South Australia,Other,41.2923221
2007 Q2,Adelaide,South Australia,Other,49.9884623
2007 Q3,Adelaide,South Australia,Other,55.0872166
2007 Q4,Adelaide,South Australia,Other,51.7531199
2008 Q1,Adelaide,South Australia,Other,43.8686265
2008 Q2,Adelaide,South Australia,Other,37.5657883
2008 Q3,Adelaide,South Australia,Other,46.4611953
2008 Q4,Adelaide,South Australia,Other,44.106251
2009 Q1,Adelaide,South Australia,Other,52.0594965
2009 Q2,Adelaide,South Australia,Other,52.4399762
2009 Q3,Adelaide,South Australia,Other,56.0704944
2009 Q4,Adelaide,South Australia,Other,41.9836801
2010 Q1,Adelaide,South Australia,Other,43.76536
2010 Q2,Adelaide,South Australia,Other,55.7404317
2010 Q3,Adelaide,South Australia,Other,53.0696029
2010 Q4,Adelaide,South Australia,Other,55.3062409
2011 Q1,Adelaide,South Australia,Other,70.1165861
2011 Q2,Adelaide,South Australia,Other,56.6278031
2011 Q3,Adelaide,South Australia,Other,61.9101303
2011 Q4,Adelaide,South Australia,Other,57.9282548
2012 Q1,Adelaide,South Australia,Other,58.2204869
2012 Q2,Adelaide,South Australia,Other,88.1216209
2012 Q3,Adelaide,South Australia,Other,66.8339913
2012 Q4,Adelaide,South Australia,Other,42.2232428
2013 Q1,Adelaide,South Australia,Other,52.7758394
2013 Q2,Adelaide,South Australia,Other,52.4453248
2013 Q3,Adelaide,South Australia,Other,79.5717441
2013 Q4,Adelaide,South Australia,Other,101.7222527
2014 Q1,Adelaide,South Australia,Other,71.369416
2014 Q2,Adelaide,South Australia,Other,82.6371489
2014 Q3,Adelaide,South Australia,Other,46.0170661
2014 Q4,Adelaide,South Australia,Other,87.1037133
2015 Q1,Adelaide,South Australia,Other,78.0789126
2015 Q2,Adelaide,South Australia,Other,107.4946569
2015 Q3,Adelaide,South Australia,Other,51.7945351
2015 Q4,Adelaide,South Australia,Other,45.150493
2016 Q1,Adelaide,South Australia,Other,61.8101351
2016 Q2,Adelaide,South Australia,Other,80.4886879
2016 Q3,Adelaide,South Australia,Other,81.7148422
2016 Q4,Adelaide,South Australia,Other,83.5487847
2017 Q1,Adelaide,South Australia,Other,93.827099
2017 Q2,Adelaide,South Australia,Other,82.5889838
2017 Q3,Adelaide,South Australia,Other,96.0775649
2017 Q4,Adelaide,South Australia,Other,74.7483317
1998 Q1,Adelaide,South Australia,Visiting,241.5561095
1998 Q2,Adelaide,South Australia,Visiting,170.1105142
1998 Q3,Adelaide,South Australia,Visiting,232.3488833
1998 Q4,Adelaide,South Australia,Visiting,180.9617928
1999 Q1,Adelaide,South Australia,Visiting,199.711846
1999 Q2,Adelaide,South Australia,Visiting,179.5662015
1999 Q3,Adelaide,South Australia,Visiting,203.9482412
1999 Q4,Adelaide,South Australia,Visiting,214.4801446
2000 Q1,Adelaide,South Australia,Visiting,251.7557851
2000 Q2,Adelaide,South Australia,Visiting,178.6629738
2000 Q3,Adelaide,South Australia,Visiting,147.5333628
2000 Q4,Adelaide,South Australia,Visiting,213.1198656
2001 Q1,Adelaide,South Australia,Visiting,239.9944022
2001 Q2,Adelaide,South Australia,Visiting,155.6012016
2001 Q3,Adelaide,South Australia,Visiting,162.7763442
2001 Q4,Adelaide,South Australia,Visiting,256.3846773
2002 Q1,Adelaide,South Australia,Visiting,198.208282
2002 Q2,Adelaide,South Australia,Visiting,250.1651577
2002 Q3,Adelaide,South Australia,Visiting,223.3220049
2002 Q4,Adelaide,South Australia,Visiting,189.6923009
2003 Q1,Adelaide,South Australia,Visiting,230.0463821
2003 Q2,Adelaide,South Australia,Visiting,173.4722393
2003 Q3,Adelaide,South Australia,Visiting,175.135268
2003 Q4,Adelaide,South Australia,Visiting,208.7591977
2004 Q1,Adelaide,South Australia,Visiting,265.7548591
2004 Q2,Adelaide,South Australia,Visiting,213.8409703
2004 Q3,Adelaide,South Australia,Visiting,183.408378
2004 Q4,Adelaide,South Australia,Visiting,231.7860383
2005 Q1,Adelaide,South Australia,Visiting,261.8095196
2005 Q2,Adelaide,South Australia,Visiting,176.1852599
2005 Q3,Adelaide,South Australia,Visiting,165.3942311
2005 Q4,Adelaide,South Australia,Visiting,182.0362393
2006 Q1,Adelaide,South Australia,Visiting,218.827553
2006 Q2,Adelaide,South Australia,Visiting,194.114447
2006 Q3,Adelaide,South Australia,Visiting,163.068442
2006 Q4,Adelaide,South Australia,Visiting,220.230351
2007 Q1,Adelaide,South Australia,Visiting,246.2381097
2007 Q2,Adelaide,South Australia,Visiting,220.738877
2007 Q3,Adelaide,South Australia,Visiting,188.9236406
2007 Q4,Adelaide,South Australia,Visiting,223.1513123
2008 Q1,Adelaide,South Australia,Visiting,243.6220677
2008 Q2,Adelaide,South Australia,Visiting,186.8657264
2008 Q3,Adelaide,South Australia,Visiting,179.00034
2008 Q4,Adelaide,South Australia,Visiting,218.8652874
2009 Q1,Adelaide,South Australia,Visiting,193.9363459
2009 Q2,Adelaide,South Australia,Visiting,166.5628643
2009 Q3,Adelaide,South Australia,Visiting,206.980141
2009 Q4,Adelaide,South Australia,Visiting,199.9165145
2010 Q1,Adelaide,South Australia,Visiting,177.3642501
2010 Q2,Adelaide,South Australia,Visiting,190.3976189
2010 Q3,Adelaide,South Australia,Visiting,136.6111544
2010 Q4,Adelaide,South Australia,Visiting,174.7713795
2011 Q1,Adelaide,South Australia,Visiting,213.8757276
2011 Q2,Adelaide,South Australia,Visiting,185.397534
2011 Q3,Adelaide,South Australia,Visiting,145.3488
2011 Q4,Adelaide,South Australia,Visiting,206.5681484
2012 Q1,Adelaide,South Australia,Visiting,177.4265611
2012 Q2,Adelaide,South Australia,Visiting,165.9582747
2012 Q3,Adelaide,South Australia,Visiting,174.4469643
2012 Q4,Adelaide,South Australia,Visiting,236.4678649
2013 Q1,Adelaide,South Australia,Visiting,177.7299619
2013 Q2,Adelaide,South Australia,Visiting,213.4183644
2013 Q3,Adelaide,South Australia,Visiting,197.1145928
2013 Q4,Adelaide,South Australia,Visiting,180.1940008
2014 Q1,Adelaide,South Australia,Visiting,211.3142782
2014 Q2,Adelaide,South Australia,Visiting,244.4966507
2014 Q3,Adelaide,South Australia,Visiting,140.3922591
2014 Q4,Adelaide,South Australia,Visiting,261.6273403
2015 Q1,Adelaide,South Australia,Visiting,217.4926368
2015 Q2,Adelaide,South Australia,Visiting,204.5953228
2015 Q3,Adelaide,South Australia,Visiting,213.508223
2015 Q4,Adelaide,South Australia,Visiting,259.2994435
2016 Q1,Adelaide,South Australia,Visiting,252.284773
2016 Q2,Adelaide,South Australia,Visiting,219.1658594
2016 Q3,Adelaide,South Australia,Visiting,203.7540928
2016 Q4,Adelaide,South Australia,Visiting,251.2916838
2017 Q1,Adelaide,South Australia,Visiting,269.5356177
2017 Q2,Adelaide,South Australia,Visiting,218.3935756
2017 Q3,Adelaide,South Australia,Visiting,229.0500207
2017 Q4,Adelaide,South Australia,Visiting,237.6296731
1998 Q1,Adelaide Hills,South Australia,Business,0
1998 Q2,Adelaide Hills,South Australia,Business,0
1998 Q3,Adelaide Hills,South Australia,Business,7.4175726
1998 Q4,Adelaide Hills,South Australia,Business,0
1999 Q1,Adelaide Hills,South Australia,Business,0.669801
1999 Q2,Adelaide Hills,South Australia,Business,0.9485634
1999 Q3,Adelaide Hills,South Australia,Business,0
1999 Q4,Adelaide Hills,South Australia,Business,0
2000 Q1,Adelaide Hills,South Australia,Business,0
2000 Q2,Adelaide Hills,South Australia,Business,0.6234467
2000 Q3,Adelaide Hills,South Australia,Business,4.9205512
2000 Q4,Adelaide Hills,South Australia,Business,7.2571081
2001 Q1,Adelaide Hills,South Australia,Business,0
2001 Q2,Adelaide Hills,South Australia,Business,5.4055598
2001 Q3,Adelaide Hills,South Australia,Business,1.8786155
2001 Q4,Adelaide Hills,South Australia,Business,0.9916063
2002 Q1,Adelaide Hills,South Australia,Business,0
2002 Q2,Adelaide Hills,South Australia,Business,2.2811975
2002 Q3,Adelaide Hills,South Australia,Business,0
2002 Q4,Adelaide Hills,South Australia,Business,0
2003 Q1,Adelaide Hills,South Australia,Business,0
2003 Q2,Adelaide Hills,South Australia,Business,2.265113
2003 Q3,Adelaide Hills,South Australia,Business,2.4946163
2003 Q4,Adelaide Hills,South Australia,Business,0
2004 Q1,Adelaide Hills,South Australia,Business,4.1064634
2004 Q2,Adelaide Hills,South Australia,Business,6.1167046
2004 Q3,Adelaide Hills,South Australia,Business,28.6015152
2004 Q4,Adelaide Hills,South Australia,Business,5.1464077
2005 Q1,Adelaide Hills,South Australia,Business,5.9550873
2005 Q2,Adelaide Hills,South Australia,Business,6.9998942
2005 Q3,Adelaide Hills,South Australia,Business,0.7188813
2005 Q4,Adelaide Hills,South Australia,Business,0
2006 Q1,Adelaide Hills,South Australia,Business,1.322368
2006 Q2,Adelaide Hills,South Australia,Business,1.348101
2006 Q3,Adelaide Hills,South Australia,Business,0.788043
2006 Q4,Adelaide Hills,South Australia,Business,2.58543
2007 Q1,Adelaide Hills,South Australia,Business,3.4910835
2007 Q2,Adelaide Hills,South Australia,Business,1.9444892
2007 Q3,Adelaide Hills,South Australia,Business,0.9550753
2007 Q4,Adelaide Hills,South Australia,Business,7.4194128
2008 Q1,Adelaide Hills,South Australia,Business,4.5110447
2008 Q2,Adelaide Hills,South Australia,Business,5.1827222
2008 Q3,Adelaide Hills,South Australia,Business,0.7745446
2008 Q4,Adelaide Hills,South Australia,Business,0
2009 Q1,Adelaide Hills,South Australia,Business,0.4740745
2009 Q2,Adelaide Hills,South Australia,Business,1.7390433
2009 Q3,Adelaide Hills,South Australia,Business,0
2009 Q4,Adelaide Hills,South Australia,Business,7.0883161
2010 Q1,Adelaide Hills,South Australia,Business,1.2614911
2010 Q2,Adelaide Hills,South Australia,Business,1.5545561
2010 Q3,Adelaide Hills,South Australia,Business,4.411182
2010 Q4,Adelaide Hills,South Australia,Business,0.7453911
2011 Q1,Adelaide Hills,South Australia,Business,0.8340089
2011 Q2,Adelaide Hills,South Australia,Business,1.486946
2011 Q3,Adelaide Hills,South Australia,Business,8.9171885
2011 Q4,Adelaide Hills,South Australia,Business,1.3575087
2012 Q1,Adelaide Hills,South Australia,Business,0
2012 Q2,Adelaide Hills,South Australia,Business,3.0112114
2012 Q3,Adelaide Hills,South Australia,Business,0
2012 Q4,Adelaide Hills,South Australia,Business,4.7733067
2013 Q1,Adelaide Hills,South Australia,Business,1.7713181
2013 Q2,Adelaide Hills,South Australia,Business,2.6677437
2013 Q3,Adelaide Hills,South Australia,Business,0
2013 Q4,Adelaide Hills,South Australia,Business,0
2014 Q1,Adelaide Hills,South Australia,Business,0
2014 Q2,Adelaide Hills,South Australia,Business,1.2493762
2014 Q3,Adelaide Hills,South Australia,Business,0
2014 Q4,Adelaide Hills,South Australia,Business,0
2015 Q1,Adelaide Hills,South Australia,Business,0.7101666
2015 Q2,Adelaide Hills,South Australia,Business,1.8114772
2015 Q3,Adelaide Hills,South Australia,Business,16.2733027
2015 Q4,Adelaide Hills,South Australia,Business,0
2016 Q1,Adelaide Hills,South Australia,Business,14.6857262
2016 Q2,Adelaide Hills,South Australia,Business,0
2016 Q3,Adelaide Hills,South Australia,Business,3.8583368
2016 Q4,Adelaide Hills,South Australia,Business,0.1173455
2017 Q1,Adelaide Hills,South Australia,Business,0.9790461
2017 Q2,Adelaide Hills,South Australia,Business,4.303
2017 Q3,Adelaide Hills,South Australia,Business,1.9368033
2017 Q4,Adelaide Hills,South Australia,Business,0
1998 Q1,Adelaide Hills,South Australia,Holiday,6.8104523
1998 Q2,Adelaide Hills,South Australia,Holiday,13.6720871
1998 Q3,Adelaide Hills,South Australia,Holiday,12.9211976
1998 Q4,Adelaide Hills,South Australia,Holiday,18.1373877
1999 Q1,Adelaide Hills,South Australia,Holiday,10.9051648
1999 Q2,Adelaide Hills,South Australia,Holiday,16.7807442
1999 Q3,Adelaide Hills,South Australia,Holiday,6.9177303
1999 Q4,Adelaide Hills,South Australia,Holiday,9.7011935
2000 Q1,Adelaide Hills,South Australia,Holiday,15.0217047
2000 Q2,Adelaide Hills,South Australia,Holiday,15.0266245
2000 Q3,Adelaide Hills,South Australia,Holiday,35.7513371
2000 Q4,Adelaide Hills,South Australia,Holiday,6.9048294
2001 Q1,Adelaide Hills,South Australia,Holiday,0
2001 Q2,Adelaide Hills,South Australia,Holiday,8.5686541
2001 Q3,Adelaide Hills,South Australia,Holiday,6.8432419
2001 Q4,Adelaide Hills,South Australia,Holiday,2.0958331
2002 Q1,Adelaide Hills,South Australia,Holiday,10.0677382
2002 Q2,Adelaide Hills,South Australia,Holiday,13.9655569
2002 Q3,Adelaide Hills,South Australia,Holiday,8.210802
2002 Q4,Adelaide Hills,South Australia,Holiday,11.2447404
2003 Q1,Adelaide Hills,South Australia,Holiday,7.6936875
2003 Q2,Adelaide Hills,South Australia,Holiday,1.2393061
2003 Q3,Adelaide Hills,South Australia,Holiday,8.1428229
2003 Q4,Adelaide Hills,South Australia,Holiday,2.7774158
2004 Q1,Adelaide Hills,South Australia,Holiday,20.6068023
2004 Q2,Adelaide Hills,South Australia,Holiday,4.0609206
2004 Q3,Adelaide Hills,South Australia,Holiday,16.159782
2004 Q4,Adelaide Hills,South Australia,Holiday,8.492838
2005 Q1,Adelaide Hills,South Australia,Holiday,9.0009987
2005 Q2,Adelaide Hills,South Australia,Holiday,7.2371547
2005 Q3,Adelaide Hills,South Australia,Holiday,6.4905447
2005 Q4,Adelaide Hills,South Australia,Holiday,3.5300866
2006 Q1,Adelaide Hills,South Australia,Holiday,9.258452
2006 Q2,Adelaide Hills,South Australia,Holiday,6.678015
2006 Q3,Adelaide Hills,South Australia,Holiday,5.770516
2006 Q4,Adelaide Hills,South Australia,Holiday,5.642634
2007 Q1,Adelaide Hills,South Australia,Holiday,7.783172
2007 Q2,Adelaide Hills,South Australia,Holiday,5.2993434
2007 Q3,Adelaide Hills,South Australia,Holiday,4.8560908
2007 Q4,Adelaide Hills,South Australia,Holiday,12.3934947
2008 Q1,Adelaide Hills,South Australia,Holiday,4.7703495
2008 Q2,Adelaide Hills,South Australia,Holiday,8.3249579
2008 Q3,Adelaide Hills,South Australia,Holiday,8.5390942
2008 Q4,Adelaide Hills,South Australia,Holiday,7.9047397
2009 Q1,Adelaide Hills,South Australia,Holiday,6.7295009
2009 Q2,Adelaide Hills,South Australia,Holiday,3.7608167
2009 Q3,Adelaide Hills,South Australia,Holiday,6.5875964
2009 Q4,Adelaide Hills,South Australia,Holiday,11.9245373
2010 Q1,Adelaide Hills,South Australia,Holiday,2.5127822
2010 Q2,Adelaide Hills,South Australia,Holiday,5.2512939
2010 Q3,Adelaide Hills,South Australia,Holiday,6.7521319
2010 Q4,Adelaide Hills,South Australia,Holiday,13.1153901
2011 Q1,Adelaide Hills,South Australia,Holiday,6.3379975
2011 Q2,Adelaide Hills,South Australia,Holiday,8.0623412
2011 Q3,Adelaide Hills,South Australia,Holiday,5.6189895
2011 Q4,Adelaide Hills,South Australia,Holiday,16.751851
2012 Q1,Adelaide Hills,South Australia,Holiday,4.6416648
2012 Q2,Adelaide Hills,South Australia,Holiday,22.0608883
2012 Q3,Adelaide Hills,South Australia,Holiday,4.7464807
2012 Q4,Adelaide Hills,South Australia,Holiday,4.9041933
2013 Q1,Adelaide Hills,South Australia,Holiday,2.9074736
2013 Q2,Adelaide Hills,South Australia,Holiday,24.2493715
2013 Q3,Adelaide Hills,South Australia,Holiday,13.6249076
2013 Q4,Adelaide Hills,South Australia,Holiday,15.584661
2014 Q1,Adelaide Hills,South Australia,Holiday,13.4973173
2014 Q2,Adelaide Hills,South Australia,Holiday,23.9760708
2014 Q3,Adelaide Hills,South Australia,Holiday,5.7591444
2014 Q4,Adelaide Hills,South Australia,Holiday,4.361428
2015 Q1,Adelaide Hills,South Australia,Holiday,11.3356962
2015 Q2,Adelaide Hills,South Australia,Holiday,20.6098284
2015 Q3,Adelaide Hills,South Australia,Holiday,15.5468821
2015 Q4,Adelaide Hills,South Australia,Holiday,16.0923819
2016 Q1,Adelaide Hills,South Australia,Holiday,23.9436798
2016 Q2,Adelaide Hills,South Australia,Holiday,11.2939838
2016 Q3,Adelaide Hills,South Australia,Holiday,15.490573
2016 Q4,Adelaide Hills,South Australia,Holiday,14.3433173
2017 Q1,Adelaide Hills,South Australia,Holiday,12.918826
2017 Q2,Adelaide Hills,South Australia,Holiday,19.0545985
2017 Q3,Adelaide Hills,South Australia,Holiday,17.7025595
2017 Q4,Adelaide Hills,South Australia,Holiday,13.1306931
1998 Q1,Adelaide Hills,South Australia,Other,0
1998 Q2,Adelaide Hills,South Australia,Other,4.6416225
1998 Q3,Adelaide Hills,South Australia,Other,2.5551154
1998 Q4,Adelaide Hills,South Australia,Other,0.7742269
1999 Q1,Adelaide Hills,South Australia,Other,0
1999 Q2,Adelaide Hills,South Australia,Other,0
1999 Q3,Adelaide Hills,South Australia,Other,0
