Sensor,Date_Time,Date,Time,Count
Birrarung Marr,2015-01-08T04:00:00Z,2015-01-08,15,344
Birrarung Marr,2015-01-08T05:00:00Z,2015-01-08,16,277
Birrarung Marr,2015-01-08T06:00:00Z,2015-01-08,17,568
Birrarung Marr,2015-01-08T07:00:00Z,2015-01-08,18,385
Birrarung Marr,2015-01-08T08:00:00Z,2015-01-08,19,230
Birrarung Marr,2015-01-08T09:00:00Z,2015-01-08,20,196
Birrarung Marr,2015-01-08T10:00:00Z,2015-01-08,21,180
Birrarung Marr,2015-01-08T11:00:00Z,2015-01-08,22,86
Birrarung Marr,2015-01-08T12:00:00Z,2015-01-08,23,69
Birrarung Marr,2015-01-08T13:00:00Z,2015-01-09,0,21
Birrarung Marr,2015-01-08T14:00:00Z,2015-01-09,1,5
Birrarung Marr,2015-01-08T15:00:00Z,2015-01-09,2,16
Birrarung Marr,2015-01-08T16:00:00Z,2015-01-09,3,12
Birrarung Marr,2015-01-08T17:00:00Z,2015-01-09,4,19
Birrarung Marr,2015-01-08T18:00:00Z,2015-01-09,5,21
Birrarung Marr,2015-01-08T19:00:00Z,2015-01-09,6,102
Birrarung Marr,2015-01-08T20:00:00Z,2015-01-09,7,253
Birrarung Marr,2015-01-08T21:00:00Z,2015-01-09,8,379
Birrarung Marr,2015-01-08T22:00:00Z,2015-01-09,9,165
Birrarung Marr,2015-01-08T23:00:00Z,2015-01-09,10,123
Birrarung Marr,2015-01-09T00:00:00Z,2015-01-09,11,205
Birrarung Marr,2015-01-09T01:00:00Z,2015-01-09,12,280
Birrarung Marr,2015-01-09T02:00:00Z,2015-01-09,13,326
Birrarung Marr,2015-01-09T03:00:00Z,2015-01-09,14,250
Birrarung Marr,2015-01-09T04:00:00Z,2015-01-09,15,431
Birrarung Marr,2015-01-09T05:00:00Z,2015-01-09,16,547
Birrarung Marr,2015-01-09T06:00:00Z,2015-01-09,17,830
Birrarung Marr,2015-01-09T07:00:00Z,2015-01-09,18,1299
Birrarung Marr,2015-01-09T08:00:00Z,2015-01-09,19,559
Birrarung Marr,2015-01-09T09:00:00Z,2015-01-09,20,178
Birrarung Marr,2015-01-09T10:00:00Z,2015-01-09,21,92
Birrarung Marr,2015-01-09T11:00:00Z,2015-01-09,22,1629
Birrarung Marr,2015-01-09T12:00:00Z,2015-01-09,23,71
Birrarung Marr,2015-01-09T13:00:00Z,2015-01-10,0,48
Birrarung Marr,2015-01-09T14:00:00Z,2015-01-10,1,19
Birrarung Marr,2015-01-09T15:00:00Z,2015-01-10,2,10
Birrarung Marr,2015-01-09T16:00:00Z,2015-01-10,3,32
Birrarung Marr,2015-01-09T17:00:00Z,2015-01-10,4,30
Birrarung Marr,2015-01-09T18:00:00Z,2015-01-10,5,45
Birrarung Marr,2015-01-09T19:00:00Z,2015-01-10,6,58
Birrarung Marr,2015-01-09T20:00:00Z,2015-01-10,7,145
Birrarung Marr,2015-01-09T21:00:00Z,2015-01-10,8,165
Birrarung Marr,2015-01-09T22:00:00Z,2015-01-10,9,236
Birrarung Marr,2015-01-09T23:00:00Z,2015-01-10,10,277
Birrarung Marr,2015-01-10T00:00:00Z,2015-01-10,11,386
Birrarung Marr,2015-01-10T01:00:00Z,2015-01-10,12,590
Birrarung Marr,2015-01-10T02:00:00Z,2015-01-10,13,943
Birrarung Marr,2015-01-10T03:00:00Z,2015-01-10,14,901
Birrarung Marr,2015-01-10T04:00:00Z,2015-01-10,15,1135
Birrarung Marr,2015-01-10T05:00:00Z,2015-01-10,16,1253
Birrarung Marr,2015-01-10T06:00:00Z,2015-01-10,17,1595
Birrarung Marr,2015-01-10T07:00:00Z,2015-01-10,18,2439
Birrarung Marr,2015-01-10T08:00:00Z,2015-01-10,19,1151
Birrarung Marr,2015-01-10T09:00:00Z,2015-01-10,20,590
Birrarung Marr,2015-01-10T10:00:00Z,2015-01-10,21,554
Birrarung Marr,2015-01-10T11:00:00Z,2015-01-10,22,1933
Birrarung Marr,2015-01-10T12:00:00Z,2015-01-10,23,756
Birrarung Marr,2015-01-10T13:00:00Z,2015-01-11,0,161
Birrarung Marr,2015-01-10T14:00:00Z,2015-01-11,1,68
Birrarung Marr,2015-01-10T15:00:00Z,2015-01-11,2,49
Birrarung Marr,2015-01-10T16:00:00Z,2015-01-11,3,43
Birrarung Marr,2015-01-10T17:00:00Z,2015-01-11,4,47
Birrarung Marr,2015-01-10T18:00:00Z,2015-01-11,5,26
Birrarung Marr,2015-01-10T19:00:00Z,2015-01-11,6,45
Birrarung Marr,2015-01-10T20:00:00Z,2015-01-11,7,174
Birrarung Marr,2015-01-10T21:00:00Z,2015-01-11,8,155
Birrarung Marr,2015-01-10T22:00:00Z,2015-01-11,9,236
Birrarung Marr,2015-01-10T23:00:00Z,2015-01-11,10,446
Birrarung Marr,2015-01-11T00:00:00Z,2015-01-11,11,522
Birrarung Marr,2015-01-11T01:00:00Z,2015-01-11,12,664
Birrarung Marr,2015-01-11T02:00:00Z,2015-01-11,13,761
Birrarung Marr,2015-01-11T03:00:00Z,2015-01-11,14,751
Birrarung Marr,2015-01-11T04:00:00Z,2015-01-11,15,707
Birrarung Marr,2015-01-11T05:00:00Z,2015-01-11,16,694
Birrarung Marr,2015-01-11T06:00:00Z,2015-01-11,17,563
Birrarung Marr,2015-01-11T07:00:00Z,2015-01-11,18,924
Birrarung Marr,2015-01-11T08:00:00Z,2015-01-11,19,634
Birrarung Marr,2015-01-11T09:00:00Z,2015-01-11,20,305
Birrarung Marr,2015-01-11T10:00:00Z,2015-01-11,21,161
Birrarung Marr,2015-01-11T11:00:00Z,2015-01-11,22,948
Birrarung Marr,2015-01-11T12:00:00Z,2015-01-11,23,133
Birrarung Marr,2015-01-11T13:00:00Z,2015-01-12,0,23
Birrarung Marr,2015-01-11T14:00:00Z,2015-01-12,1,22
Birrarung Marr,2015-01-11T15:00:00Z,2015-01-12,2,6
Birrarung Marr,2015-01-11T16:00:00Z,2015-01-12,3,17
Birrarung Marr,2015-01-11T17:00:00Z,2015-01-12,4,14
Birrarung Marr,2015-01-11T18:00:00Z,2015-01-12,5,51
Birrarung Marr,2015-01-11T19:00:00Z,2015-01-12,6,199
Birrarung Marr,2015-01-11T20:00:00Z,2015-01-12,7,554
Birrarung Marr,2015-01-11T21:00:00Z,2015-01-12,8,857
Birrarung Marr,2015-01-11T22:00:00Z,2015-01-12,9,291
Birrarung Marr,2015-01-11T23:00:00Z,2015-01-12,10,245
Birrarung Marr,2015-01-12T00:00:00Z,2015-01-12,11,316
Birrarung Marr,2015-01-12T01:00:00Z,2015-01-12,12,547
Birrarung Marr,2015-01-12T02:00:00Z,2015-01-12,13,594
Birrarung Marr,2015-01-12T03:00:00Z,2015-01-12,14,434
Birrarung Marr,2015-01-12T04:00:00Z,2015-01-12,15,405
Birrarung Marr,2015-01-12T05:00:00Z,2015-01-12,16,513
Birrarung Marr,2015-01-12T06:00:00Z,2015-01-12,17,902
Birrarung Marr,2015-01-12T07:00:00Z,2015-01-12,18,686
Birrarung Marr,2015-01-12T08:00:00Z,2015-01-12,19,395
Birrarung Marr,2015-01-12T09:00:00Z,2015-01-12,20,358
Birrarung Marr,2015-01-12T10:00:00Z,2015-01-12,21,208
Birrarung Marr,2015-01-12T11:00:00Z,2015-01-12,22,121
Birrarung Marr,2015-01-12T12:00:00Z,2015-01-12,23,53
Birrarung Marr,2015-01-12T13:00:00Z,2015-01-13,0,36
Birrarung Marr,2015-01-12T14:00:00Z,2015-01-13,1,18
Birrarung Marr,2015-01-12T15:00:00Z,2015-01-13,2,13
Birrarung Marr,2015-01-12T16:00:00Z,2015-01-13,3,14
Birrarung Marr,2015-01-12T17:00:00Z,2015-01-13,4,29
Birrarung Marr,2015-01-12T18:00:00Z,2015-01-13,5,43
Birrarung Marr,2015-01-12T19:00:00Z,2015-01-13,6,159
Birrarung Marr,2015-01-12T20:00:00Z,2015-01-13,7,505
Birrarung Marr,2015-01-12T21:00:00Z,2015-01-13,8,664
Birrarung Marr,2015-01-12T22:00:00Z,2015-01-13,9,200
Birrarung Marr,2015-01-12T23:00:00Z,2015-01-13,10,76
Birrarung Marr,2015-01-13T00:00:00Z,2015-01-13,11,155
Birrarung Marr,2015-01-13T01:00:00Z,2015-01-13,12,222
Birrarung Marr,2015-01-13T02:00:00Z,2015-01-13,13,134
Birrarung Marr,2015-01-13T03:00:00Z,2015-01-13,14,148
Birrarung Marr,2015-01-13T04:00:00Z,2015-01-13,15,237
Birrarung Marr,2015-01-13T05:00:00Z,2015-01-13,16,334
Birrarung Marr,2015-01-13T06:00:00Z,2015-01-13,17,630
Birrarung Marr,2015-01-13T07:00:00Z,2015-01-13,18,525
Birrarung Marr,2015-01-13T08:00:00Z,2015-01-13,19,319
Birrarung Marr,2015-01-13T09:00:00Z,2015-01-13,20,245
Birrarung Marr,2015-01-13T10:00:00Z,2015-01-13,21,139
Birrarung Marr,2015-01-13T11:00:00Z,2015-01-13,22,50
Birrarung Marr,2015-01-13T12:00:00Z,2015-01-13,23,31
Birrarung Marr,2015-01-13T13:00:00Z,2015-01-14,0,13
Birrarung Marr,2015-01-13T14:00:00Z,2015-01-14,1,4
Birrarung Marr,2015-01-13T15:00:00Z,2015-01-14,2,8
Birrarung Marr,2015-01-13T16:00:00Z,2015-01-14,3,22
Birrarung Marr,2015-01-13T17:00:00Z,2015-01-14,4,15
Birrarung Marr,2015-01-13T18:00:00Z,2015-01-14,5,38
Birrarung Marr,2015-01-13T19:00:00Z,2015-01-14,6,124
Birrarung Marr,2015-01-13T20:00:00Z,2015-01-14,7,314
Birrarung Marr,2015-01-13T21:00:00Z,2015-01-14,8,521
Birrarung Marr,2015-01-13T22:00:00Z,2015-01-14,9,367
Birrarung Marr,2015-01-13T23:00:00Z,2015-01-14,10,338
Birrarung Marr,2015-01-14T00:00:00Z,2015-01-14,11,407
Birrarung Marr,2015-01-14T01:00:00Z,2015-01-14,12,566
Birrarung Marr,2015-01-14T02:00:00Z,2015-01-14,13,558
Birrarung Marr,2015-01-14T03:00:00Z,2015-01-14,14,535
Birrarung Marr,2015-01-14T04:00:00Z,2015-01-14,15,527
Birrarung Marr,2015-01-14T05:00:00Z,2015-01-14,16,708
Birrarung Marr,2015-01-14T06:00:00Z,2015-01-14,17,1377
Birrarung Marr,2015-01-14T07:00:00Z,2015-01-14,18,1029
Birrarung Marr,2015-01-14T08:00:00Z,2015-01-14,19,333
Birrarung Marr,2015-01-14T09:00:00Z,2015-01-14,20,1115
Birrarung Marr,2015-01-14T10:00:00Z,2015-01-14,21,188
Birrarung Marr,2015-01-14T11:00:00Z,2015-01-14,22,485
Birrarung Marr,2015-01-14T12:00:00Z,2015-01-14,23,307
Birrarung Marr,2015-01-14T13:00:00Z,2015-01-15,0,11
Birrarung Marr,2015-01-14T14:00:00Z,2015-01-15,1,8
Birrarung Marr,2015-01-14T15:00:00Z,2015-01-15,2,7
Birrarung Marr,2015-01-14T16:00:00Z,2015-01-15,3,6
Birrarung Marr,2015-01-14T17:00:00Z,2015-01-15,4,49
Birrarung Marr,2015-01-14T18:00:00Z,2015-01-15,5,50
Birrarung Marr,2015-01-14T19:00:00Z,2015-01-15,6,179
Birrarung Marr,2015-01-14T20:00:00Z,2015-01-15,7,468
Birrarung Marr,2015-01-14T21:00:00Z,2015-01-15,8,971
Birrarung Marr,2015-01-14T22:00:00Z,2015-01-15,9,367
Birrarung Marr,2015-01-14T23:00:00Z,2015-01-15,10,319
Birrarung Marr,2015-01-15T00:00:00Z,2015-01-15,11,441
Birrarung Marr,2015-01-15T01:00:00Z,2015-01-15,12,638
Birrarung Marr,2015-01-15T02:00:00Z,2015-01-15,13,778
Birrarung Marr,2015-01-15T03:00:00Z,2015-01-15,14,661
Birrarung Marr,2015-01-15T04:00:00Z,2015-01-15,15,586
Birrarung Marr,2015-01-15T05:00:00Z,2015-01-15,16,708
Birrarung Marr,2015-01-15T06:00:00Z,2015-01-15,17,1000
Birrarung Marr,2015-01-15T07:00:00Z,2015-01-15,18,880
Birrarung Marr,2015-01-15T08:00:00Z,2015-01-15,19,487
Birrarung Marr,2015-01-15T09:00:00Z,2015-01-15,20,313
Birrarung Marr,2015-01-15T10:00:00Z,2015-01-15,21,210
Birrarung Marr,2015-01-15T11:00:00Z,2015-01-15,22,112
Birrarung Marr,2015-01-15T12:00:00Z,2015-01-15,23,77
Birrarung Marr,2015-01-15T13:00:00Z,2015-01-16,0,37
Birrarung Marr,2015-01-15T14:00:00Z,2015-01-16,1,21
Birrarung Marr,2015-01-15T15:00:00Z,2015-01-16,2,11
Birrarung Marr,2015-01-15T16:00:00Z,2015-01-16,3,7
Birrarung Marr,2015-01-15T17:00:00Z,2015-01-16,4,15
Birrarung Marr,2015-01-15T18:00:00Z,2015-01-16,5,44
Birrarung Marr,2015-01-15T19:00:00Z,2015-01-16,6,175
Birrarung Marr,2015-01-15T20:00:00Z,2015-01-16,7,539
Birrarung Marr,2015-01-15T21:00:00Z,2015-01-16,8,759
Birrarung Marr,2015-01-15T22:00:00Z,2015-01-16,9,480
Birrarung Marr,2015-01-15T23:00:00Z,2015-01-16,10,526
Birrarung Marr,2015-01-16T00:00:00Z,2015-01-16,11,584
Birrarung Marr,2015-01-16T01:00:00Z,2015-01-16,12,801
Birrarung Marr,2015-01-16T02:00:00Z,2015-01-16,13,804
Birrarung Marr,2015-01-16T03:00:00Z,2015-01-16,14,864
Birrarung Marr,2015-01-16T04:00:00Z,2015-01-16,15,694
Birrarung Marr,2015-01-16T05:00:00Z,2015-01-16,16,1093
Birrarung Marr,2015-01-16T06:00:00Z,2015-01-16,17,2044
Birrarung Marr,2015-01-16T07:00:00Z,2015-01-16,18,1828
Birrarung Marr,2015-01-16T08:00:00Z,2015-01-16,19,1690
Birrarung Marr,2015-01-16T09:00:00Z,2015-01-16,20,2358
Birrarung Marr,2015-01-16T10:00:00Z,2015-01-16,21,1392
Birrarung Marr,2015-01-16T11:00:00Z,2015-01-16,22,998
Birrarung Marr,2015-01-16T12:00:00Z,2015-01-16,23,687
Birrarung Marr,2015-01-16T13:00:00Z,2015-01-17,0,303
Birrarung Marr,2015-01-16T14:00:00Z,2015-01-17,1,117
Birrarung Marr,2015-01-16T15:00:00Z,2015-01-17,2,52
Birrarung Marr,2015-01-16T16:00:00Z,2015-01-17,3,8
Birrarung Marr,2015-01-16T17:00:00Z,2015-01-17,4,31
Birrarung Marr,2015-01-16T18:00:00Z,2015-01-17,5,43
Birrarung Marr,2015-01-16T19:00:00Z,2015-01-17,6,64
Birrarung Marr,2015-01-16T20:00:00Z,2015-01-17,7,217
Birrarung Marr,2015-01-16T21:00:00Z,2015-01-17,8,308
Birrarung Marr,2015-01-16T22:00:00Z,2015-01-17,9,397
Birrarung Marr,2015-01-16T23:00:00Z,2015-01-17,10,591
Birrarung Marr,2015-01-17T00:00:00Z,2015-01-17,11,821
Birrarung Marr,2015-01-17T01:00:00Z,2015-01-17,12,970
Birrarung Marr,2015-01-17T02:00:00Z,2015-01-17,13,1712
