Week,Airports,Class,Passengers
1990 W47,ADL-PER,Business,275
1990 W48,ADL-PER,Business,259
1990 W49,ADL-PER,Business,203
1990 W50,ADL-PER,Business,138
1990 W51,ADL-PER,Business,52
1990 W52,ADL-PER,Business,69
1991 W01,ADL-PER,Business,108
1991 W02,ADL-PER,Business,168
1991 W03,ADL-PER,Business,138
1991 W04,ADL-PER,Business,152
1991 W05,ADL-PER,Business,217
1991 W06,ADL-PER,Business,225
1991 W07,ADL-PER,Business,264
1991 W08,ADL-PER,Business,234
1991 W09,ADL-PER,Business,222
1991 W10,ADL-PER,Business,237
1991 W11,ADL-PER,Business,280
1991 W12,ADL-PER,Business,191
1991 W13,ADL-PER,Business,169
1991 W14,ADL-PER,Business,261
1991 W15,ADL-PER,Business,268
1991 W16,ADL-PER,Business,171
1991 W17,ADL-PER,Business,273
1991 W18,ADL-PER,Business,314
1991 W19,ADL-PER,Business,234
1991 W20,ADL-PER,Business,314
1991 W21,ADL-PER,Business,235
1991 W22,ADL-PER,Business,251
1991 W23,ADL-PER,Business,232
1991 W24,ADL-PER,Business,303
1991 W25,ADL-PER,Business,246
1991 W26,ADL-PER,Business,234
1991 W27,ADL-PER,Business,215
1991 W28,ADL-PER,Business,212
1991 W29,ADL-PER,Business,243
1991 W30,ADL-PER,Business,224
1991 W31,ADL-PER,Business,258
1991 W32,ADL-PER,Business,220
1991 W33,ADL-PER,Business,222
1991 W34,ADL-PER,Business,211
1991 W35,ADL-PER,Business,241
1991 W36,ADL-PER,Business,261
1991 W37,ADL-PER,Business,249
1991 W38,ADL-PER,Business,257
1991 W39,ADL-PER,Business,220
1991 W40,ADL-PER,Business,184
1991 W41,ADL-PER,Business,221
1991 W42,ADL-PER,Business,223
1991 W43,ADL-PER,Business,206
1991 W44,ADL-PER,Business,260
1991 W45,ADL-PER,Business,270
1991 W46,ADL-PER,Business,250
1991 W47,ADL-PER,Business,260
1991 W48,ADL-PER,Business,199
1991 W49,ADL-PER,Business,177
1991 W50,ADL-PER,Business,195
1991 W51,ADL-PER,Business,60
1991 W52,ADL-PER,Business,66
1992 W01,ADL-PER,Business,138
1992 W02,ADL-PER,Business,173
1992 W03,ADL-PER,Business,142
1992 W04,ADL-PER,Business,118
1992 W05,ADL-PER,Business,269
1992 W06,ADL-PER,Business,296
1992 W07,ADL-PER,Business,259
1992 W08,ADL-PER,Business,314
1992 W09,ADL-PER,Business,255
1992 W10,ADL-PER,Business,282
1992 W11,ADL-PER,Business,290
1992 W12,ADL-PER,Business,713
1992 W13,ADL-PER,Business,910
1992 W14,ADL-PER,Business,1015
1992 W15,ADL-PER,Business,844
1992 W16,ADL-PER,Business,718
1992 W17,ADL-PER,Business,911
1992 W18,ADL-PER,Business,890
1992 W19,ADL-PER,Business,933
1992 W20,ADL-PER,Business,901
1992 W21,ADL-PER,Business,875
1992 W22,ADL-PER,Business,666
1992 W23,ADL-PER,Business,624
1992 W24,ADL-PER,Business,619
1992 W25,ADL-PER,Business,517
1992 W26,ADL-PER,Business,436
1992 W27,ADL-PER,Business,424
1992 W28,ADL-PER,Business,363
1992 W29,ADL-PER,Business,386
1992 W30,ADL-PER,Business,398
1992 W31,ADL-PER,Business,394
1992 W32,ADL-PER,Business,397
1992 W33,ADL-PER,Business,342
1992 W34,ADL-PER,Business,414
1992 W35,ADL-PER,Business,406
1992 W36,ADL-PER,Business,394
1992 W37,ADL-PER,Business,420
1992 W38,ADL-PER,Business,331
1992 W39,ADL-PER,Business,338
1992 W40,ADL-PER,Business,325
1992 W41,ADL-PER,Business,459
1992 W42,ADL-PER,Business,464
1992 W43,ADL-PER,Business,388
1992 W44,ADL-PER,Business,342
1992 W45,ADL-PER,Business,484
1992 W46,ADL-PER,Business,428
1992 W47,ADL-PER,Business,404
1987 W26,ADL-PER,Economy,2084
1987 W27,ADL-PER,Economy,2186
1987 W28,ADL-PER,Economy,2137
1987 W29,ADL-PER,Economy,2090
1987 W30,ADL-PER,Economy,1595
1987 W31,ADL-PER,Economy,1908
1987 W32,ADL-PER,Economy,1778
1987 W33,ADL-PER,Economy,1931
1987 W34,ADL-PER,Economy,2062
1987 W35,ADL-PER,Economy,2062
1987 W36,ADL-PER,Economy,1976
1987 W37,ADL-PER,Economy,1743
1987 W38,ADL-PER,Economy,2635
1987 W39,ADL-PER,Economy,2532
1987 W40,ADL-PER,Economy,2390
1987 W41,ADL-PER,Economy,2620
1987 W42,ADL-PER,Economy,2314
1987 W43,ADL-PER,Economy,2208
1987 W44,ADL-PER,Economy,2039
1987 W45,ADL-PER,Economy,2392
1987 W46,ADL-PER,Economy,2838
1987 W47,ADL-PER,Economy,2134
1987 W48,ADL-PER,Economy,1957
1987 W49,ADL-PER,Economy,2152
1987 W50,ADL-PER,Economy,2584
1987 W51,ADL-PER,Economy,2611
1987 W52,ADL-PER,Economy,2245
1987 W53,ADL-PER,Economy,2753
1988 W01,ADL-PER,Economy,2666
1988 W02,ADL-PER,Economy,2204
1988 W03,ADL-PER,Economy,2395
1988 W04,ADL-PER,Economy,2241
1988 W05,ADL-PER,Economy,1929
1988 W06,ADL-PER,Economy,2247
1988 W07,ADL-PER,Economy,2764
1988 W08,ADL-PER,Economy,2001
1988 W09,ADL-PER,Economy,2169
1988 W10,ADL-PER,Economy,1955
1988 W11,ADL-PER,Economy,2516
1988 W12,ADL-PER,Economy,2353
1988 W13,ADL-PER,Economy,2299
1988 W14,ADL-PER,Economy,2473
1988 W15,ADL-PER,Economy,2412
1988 W16,ADL-PER,Economy,2231
1988 W17,ADL-PER,Economy,2224
1988 W18,ADL-PER,Economy,2150
1988 W19,ADL-PER,Economy,2063
1988 W20,ADL-PER,Economy,2014
1988 W21,ADL-PER,Economy,1717
1988 W22,ADL-PER,Economy,1627
1988 W23,ADL-PER,Economy,1969
1988 W24,ADL-PER,Economy,1958
1988 W25,ADL-PER,Economy,2014
1988 W26,ADL-PER,Economy,2320
1988 W27,ADL-PER,Economy,2173
1988 W28,ADL-PER,Economy,2152
1988 W29,ADL-PER,Economy,1887
1988 W30,ADL-PER,Economy,1939
1988 W31,ADL-PER,Economy,2565
1988 W32,ADL-PER,Economy,2247
1988 W33,ADL-PER,Economy,2291
1988 W34,ADL-PER,Economy,1978
1988 W35,ADL-PER,Economy,2243
1988 W36,ADL-PER,Economy,2299
1988 W37,ADL-PER,Economy,2790
1988 W38,ADL-PER,Economy,2615
1988 W39,ADL-PER,Economy,2058
1988 W40,ADL-PER,Economy,2631
1988 W41,ADL-PER,Economy,2240
1988 W42,ADL-PER,Economy,2436
1988 W43,ADL-PER,Economy,1957
1988 W44,ADL-PER,Economy,2244
1988 W45,ADL-PER,Economy,2308
1988 W46,ADL-PER,Economy,1946
1988 W47,ADL-PER,Economy,2190
1988 W48,ADL-PER,Economy,2220
1988 W49,ADL-PER,Economy,2723
1988 W50,ADL-PER,Economy,2951
1988 W51,ADL-PER,Economy,1742
1988 W52,ADL-PER,Economy,2453
1989 W01,ADL-PER,Economy,2469
1989 W02,ADL-PER,Economy,2429
1989 W03,ADL-PER,Economy,2391
1989 W04,ADL-PER,Economy,2054
1989 W05,ADL-PER,Economy,2127
1989 W06,ADL-PER,Economy,2103
1989 W07,ADL-PER,Economy,1958
1989 W08,ADL-PER,Economy,2234
1989 W09,ADL-PER,Economy,2030
1989 W10,ADL-PER,Economy,2427
1989 W11,ADL-PER,Economy,2733
1989 W12,ADL-PER,Economy,2599
1989 W13,ADL-PER,Economy,2639
1989 W14,ADL-PER,Economy,2508
1989 W15,ADL-PER,Economy,2379
1989 W16,ADL-PER,Economy,2262
1989 W17,ADL-PER,Economy,2502
1989 W18,ADL-PER,Economy,2080
1989 W19,ADL-PER,Economy,1930
1989 W20,ADL-PER,Economy,1696
1989 W21,ADL-PER,Economy,2014
1989 W22,ADL-PER,Economy,1611
1989 W23,ADL-PER,Economy,1759
1989 W24,ADL-PER,Economy,1962
1989 W25,ADL-PER,Economy,2060
1989 W26,ADL-PER,Economy,2486
1989 W27,ADL-PER,Economy,2481
1989 W28,ADL-PER,Economy,2245
1989 W29,ADL-PER,Economy,2215
1989 W30,ADL-PER,Economy,1748
1989 W31,ADL-PER,Economy,1647
1989 W32,ADL-PER,Economy,1698
1989 W33,ADL-PER,Economy,965
1989 W34,ADL-PER,Economy,0
1989 W35,ADL-PER,Economy,0
1989 W36,ADL-PER,Economy,0
1989 W37,ADL-PER,Economy,0
1989 W38,ADL-PER,Economy,0
1989 W39,ADL-PER,Economy,0
1989 W40,ADL-PER,Economy,0
1989 W41,ADL-PER,Economy,0
1989 W42,ADL-PER,Economy,0
1989 W43,ADL-PER,Economy,109
1989 W44,ADL-PER,Economy,87
1989 W45,ADL-PER,Economy,63
1989 W46,ADL-PER,Economy,47
1989 W47,ADL-PER,Economy,0
1989 W48,ADL-PER,Economy,0
1989 W49,ADL-PER,Economy,167
1989 W50,ADL-PER,Economy,1428
1989 W51,ADL-PER,Economy,1143
1989 W52,ADL-PER,Economy,1242
1990 W01,ADL-PER,Economy,1258
1990 W02,ADL-PER,Economy,1438
1990 W03,ADL-PER,Economy,1098
1990 W04,ADL-PER,Economy,1321
1990 W05,ADL-PER,Economy,1307
1990 W06,ADL-PER,Economy,1398
1990 W07,ADL-PER,Economy,1300
1990 W08,ADL-PER,Economy,1330
1990 W09,ADL-PER,Economy,1652
1990 W10,ADL-PER,Economy,1427
1990 W11,ADL-PER,Economy,1882
1990 W12,ADL-PER,Economy,2120
1990 W13,ADL-PER,Economy,2317
1990 W14,ADL-PER,Economy,2514
1990 W15,ADL-PER,Economy,2298
1990 W16,ADL-PER,Economy,2351
1990 W17,ADL-PER,Economy,2104
1990 W18,ADL-PER,Economy,1731
1990 W19,ADL-PER,Economy,1620
1990 W20,ADL-PER,Economy,1475
1990 W21,ADL-PER,Economy,1423
1990 W22,ADL-PER,Economy,1538
1990 W23,ADL-PER,Economy,1549
1990 W24,ADL-PER,Economy,1559
1990 W25,ADL-PER,Economy,1945
1990 W26,ADL-PER,Economy,2415
1990 W27,ADL-PER,Economy,2345
1990 W28,ADL-PER,Economy,2183
1990 W29,ADL-PER,Economy,2036
1990 W30,ADL-PER,Economy,1685
1990 W31,ADL-PER,Economy,1728
1990 W32,ADL-PER,Economy,1799
1990 W33,ADL-PER,Economy,1981
1990 W34,ADL-PER,Economy,1986
1990 W35,ADL-PER,Economy,2101
1990 W36,ADL-PER,Economy,2331
1990 W37,ADL-PER,Economy,2642
1990 W38,ADL-PER,Economy,1538
1990 W39,ADL-PER,Economy,2501
1990 W40,ADL-PER,Economy,2653
1990 W41,ADL-PER,Economy,2283
1990 W42,ADL-PER,Economy,2209
1990 W43,ADL-PER,Economy,2152
1990 W44,ADL-PER,Economy,2200
1990 W45,ADL-PER,Economy,1970
1990 W46,ADL-PER,Economy,1864
1990 W47,ADL-PER,Economy,1965
1990 W48,ADL-PER,Economy,1990
1990 W49,ADL-PER,Economy,1977
1990 W50,ADL-PER,Economy,2697
1990 W51,ADL-PER,Economy,2238
1990 W52,ADL-PER,Economy,2323
1991 W01,ADL-PER,Economy,2653
1991 W02,ADL-PER,Economy,2453
1991 W03,ADL-PER,Economy,1474
1991 W04,ADL-PER,Economy,2437
1991 W05,ADL-PER,Economy,1905
1991 W06,ADL-PER,Economy,1860
1991 W07,ADL-PER,Economy,1806
1991 W08,ADL-PER,Economy,1866
1991 W09,ADL-PER,Economy,1581
1991 W10,ADL-PER,Economy,1790
1991 W11,ADL-PER,Economy,2210
1991 W12,ADL-PER,Economy,1928
1991 W13,ADL-PER,Economy,1805
1991 W14,ADL-PER,Economy,2073
1991 W15,ADL-PER,Economy,2227
1991 W16,ADL-PER,Economy,1925
1991 W17,ADL-PER,Economy,2018
1991 W18,ADL-PER,Economy,1924
1991 W19,ADL-PER,Economy,1595
1991 W20,ADL-PER,Economy,1665
1991 W21,ADL-PER,Economy,1664
1991 W22,ADL-PER,Economy,1640
1991 W23,ADL-PER,Economy,1494
1991 W24,ADL-PER,Economy,1682
1991 W25,ADL-PER,Economy,1776
1991 W26,ADL-PER,Economy,2008
1991 W27,ADL-PER,Economy,2129
1991 W28,ADL-PER,Economy,2284
1991 W29,ADL-PER,Economy,2030
1991 W30,ADL-PER,Economy,2024
1991 W31,ADL-PER,Economy,2022
1991 W32,ADL-PER,Economy,2036
1991 W33,ADL-PER,Economy,2070
1991 W34,ADL-PER,Economy,2286
1991 W35,ADL-PER,Economy,2305
1991 W36,ADL-PER,Economy,2426
1991 W37,ADL-PER,Economy,2483
1991 W38,ADL-PER,Economy,2697
1991 W39,ADL-PER,Economy,2617
1991 W40,ADL-PER,Economy,2605
1991 W41,ADL-PER,Economy,2560
1991 W42,ADL-PER,Economy,2655
1991 W43,ADL-PER,Economy,2376
1991 W44,ADL-PER,Economy,2442
1991 W45,ADL-PER,Economy,2509
1991 W46,ADL-PER,Economy,2649
1991 W47,ADL-PER,Economy,2501
1991 W48,ADL-PER,Economy,2496
1991 W49,ADL-PER,Economy,2711
1991 W50,ADL-PER,Economy,2913
1991 W51,ADL-PER,Economy,2909
1991 W52,ADL-PER,Economy,3163
1992 W01,ADL-PER,Economy,3305
1992 W02,ADL-PER,Economy,3036
1992 W03,ADL-PER,Economy,2977
1992 W04,ADL-PER,Economy,2444
1992 W05,ADL-PER,Economy,2480
1992 W06,ADL-PER,Economy,2393
1992 W07,ADL-PER,Economy,2282
1992 W08,ADL-PER,Economy,2417
1992 W09,ADL-PER,Economy,2266
1992 W10,ADL-PER,Economy,2353
1992 W11,ADL-PER,Economy,2354
1992 W12,ADL-PER,Economy,1670
1992 W13,ADL-PER,Economy,1612
1992 W14,ADL-PER,Economy,1485
1992 W15,ADL-PER,Economy,1934
1992 W16,ADL-PER,Economy,1856
1992 W17,ADL-PER,Economy,1776
1992 W18,ADL-PER,Economy,1629
1992 W19,ADL-PER,Economy,1427
1992 W20,ADL-PER,Economy,1558
1992 W21,ADL-PER,Economy,1480
1992 W22,ADL-PER,Economy,1416
1992 W23,ADL-PER,Economy,1768
1992 W24,ADL-PER,Economy,1888
1992 W25,ADL-PER,Economy,2242
1992 W26,ADL-PER,Economy,2692
1992 W27,ADL-PER,Economy,2519
1992 W28,ADL-PER,Economy,2535
1992 W29,ADL-PER,Economy,2534
1992 W30,ADL-PER,Economy,2700
1992 W31,ADL-PER,Economy,2578
1992 W32,ADL-PER,Economy,2488
1992 W33,ADL-PER,Economy,2681
1992 W34,ADL-PER,Economy,2634
1992 W35,ADL-PER,Economy,2483
1992 W36,ADL-PER,Economy,2753
1992 W37,ADL-PER,Economy,2837
1992 W38,ADL-PER,Economy,3048
1992 W39,ADL-PER,Economy,3061
1992 W40,ADL-PER,Economy,2943
1992 W41,ADL-PER,Economy,2789
1992 W42,ADL-PER,Economy,2823
1992 W43,ADL-PER,Economy,2799
1992 W44,ADL-PER,Economy,2650
1992 W45,ADL-PER,Economy,3059
1992 W46,ADL-PER,Economy,2783
1992 W47,ADL-PER,Economy,2722
1987 W26,ADL-PER,First,252
1987 W27,ADL-PER,First,193
1987 W28,ADL-PER,First,159
1987 W29,ADL-PER,First,219
1987 W30,ADL-PER,First,192
1987 W31,ADL-PER,First,219
1987 W32,ADL-PER,First,191
1987 W33,ADL-PER,First,229
1987 W34,ADL-PER,First,197
1987 W35,ADL-PER,First,209
1987 W36,ADL-PER,First,204
1987 W37,ADL-PER,First,195
1987 W38,ADL-PER,First,214
1987 W39,ADL-PER,First,219
1987 W40,ADL-PER,First,289
1987 W41,ADL-PER,First,233
1987 W42,ADL-PER,First,286
1987 W43,ADL-PER,First,262
1987 W44,ADL-PER,First,183
1987 W45,ADL-PER,First,341
1987 W46,ADL-PER,First,328
1987 W47,ADL-PER,First,222
1987 W48,ADL-PER,First,223
1987 W49,ADL-PER,First,250
1987 W50,ADL-PER,First,173
1987 W51,ADL-PER,First,64
1987 W52,ADL-PER,First,38
1987 W53,ADL-PER,First,67
1988 W01,ADL-PER,First,112
1988 W02,ADL-PER,First,120
1988 W03,ADL-PER,First,129
1988 W04,ADL-PER,First,159
1988 W05,ADL-PER,First,308
1988 W06,ADL-PER,First,227
1988 W07,ADL-PER,First,316
1988 W08,ADL-PER,First,232
1988 W09,ADL-PER,First,223
1988 W10,ADL-PER,First,243
1988 W11,ADL-PER,First,186
1988 W12,ADL-PER,First,100
1988 W13,ADL-PER,First,149
1988 W14,ADL-PER,First,264
1988 W15,ADL-PER,First,303
1988 W16,ADL-PER,First,255
1988 W17,ADL-PER,First,242
1988 W18,ADL-PER,First,260
1988 W19,ADL-PER,First,241
1988 W20,ADL-PER,First,234
1988 W21,ADL-PER,First,214
1988 W22,ADL-PER,First,164
1988 W23,ADL-PER,First,219
1988 W24,ADL-PER,First,186
1988 W25,ADL-PER,First,195
1988 W26,ADL-PER,First,180
1988 W27,ADL-PER,First,181
1988 W28,ADL-PER,First,219
1988 W29,ADL-PER,First,191
1988 W30,ADL-PER,First,211
1988 W31,ADL-PER,First,196
1988 W32,ADL-PER,First,198
1988 W33,ADL-PER,First,204
1988 W34,ADL-PER,First,208
1988 W35,ADL-PER,First,220
1988 W36,ADL-PER,First,199
1988 W37,ADL-PER,First,253
1988 W38,ADL-PER,First,161
1988 W39,ADL-PER,First,109
1988 W40,ADL-PER,First,180
1988 W41,ADL-PER,First,175
1988 W42,ADL-PER,First,200
1988 W43,ADL-PER,First,167
1988 W44,ADL-PER,First,277
1988 W45,ADL-PER,First,339
1988 W46,ADL-PER,First,203
1988 W47,ADL-PER,First,264
1988 W48,ADL-PER,First,204
1988 W49,ADL-PER,First,164
1988 W50,ADL-PER,First,134
1988 W51,ADL-PER,First,47
1988 W52,ADL-PER,First,51
1989 W01,ADL-PER,First,143
1989 W02,ADL-PER,First,141
1989 W03,ADL-PER,First,150
1989 W04,ADL-PER,First,142
1989 W05,ADL-PER,First,194
1989 W06,ADL-PER,First,210
1989 W07,ADL-PER,First,218
1989 W08,ADL-PER,First,156
1989 W09,ADL-PER,First,193
1989 W10,ADL-PER,First,296
1989 W11,ADL-PER,First,142
1989 W12,ADL-PER,First,136
1989 W13,ADL-PER,First,226
1989 W14,ADL-PER,First,217
1989 W15,ADL-PER,First,177
1989 W16,ADL-PER,First,167
1989 W17,ADL-PER,First,194
1989 W18,ADL-PER,First,163
1989 W19,ADL-PER,First,181
1989 W20,ADL-PER,First,208
1989 W21,ADL-PER,First,225
1989 W22,ADL-PER,First,172
1989 W23,ADL-PER,First,158
1989 W24,ADL-PER,First,188
1989 W25,ADL-PER,First,141
1989 W26,ADL-PER,First,183
1989 W27,ADL-PER,First,158
1989 W28,ADL-PER,First,159
1989 W29,ADL-PER,First,132
1989 W30,ADL-PER,First,94
1989 W31,ADL-PER,First,200
1989 W32,ADL-PER,First,152
1989 W33,ADL-PER,First,91
1989 W34,ADL-PER,First,0
1989 W35,ADL-PER,First,0
1989 W36,ADL-PER,First,0
1989 W37,ADL-PER,First,0
1989 W38,ADL-PER,First,0
1989 W39,ADL-PER,First,0
1989 W40,ADL-PER,First,0
1989 W41,ADL-PER,First,0
1989 W42,ADL-PER,First,0
1989 W43,ADL-PER,First,8
1989 W44,ADL-PER,First,13
1989 W45,ADL-PER,First,0
1989 W46,ADL-PER,First,0
1989 W47,ADL-PER,First,0
1989 W48,ADL-PER,First,0
1989 W49,ADL-PER,First,10
1989 W50,ADL-PER,First,99
1989 W51,ADL-PER,First,27
1989 W52,ADL-PER,First,43
1990 W01,ADL-PER,First,68
1990 W02,ADL-PER,First,91
1990 W03,ADL-PER,First,92
1990 W04,ADL-PER,First,85
1990 W05,ADL-PER,First,140
1990 W06,ADL-PER,First,109
1990 W07,ADL-PER,First,119
1990 W08,ADL-PER,First,138
1990 W09,ADL-PER,First,129
1990 W10,ADL-PER,First,134
1990 W11,ADL-PER,First,205
1990 W12,ADL-PER,First,185
1990 W13,ADL-PER,First,160
1990 W14,ADL-PER,First,95
1990 W15,ADL-PER,First,120
1990 W16,ADL-PER,First,109
1990 W17,ADL-PER,First,159
1990 W18,ADL-PER,First,134
1990 W19,ADL-PER,First,119
1990 W20,ADL-PER,First,121
1990 W21,ADL-PER,First,125
1990 W22,ADL-PER,First,113
1990 W23,ADL-PER,First,107
1990 W24,ADL-PER,First,118
1990 W25,ADL-PER,First,110
1990 W26,ADL-PER,First,105
1990 W27,ADL-PER,First,109
1990 W28,ADL-PER,First,108
1990 W29,ADL-PER,First,113
1990 W30,ADL-PER,First,104
1990 W31,ADL-PER,First,145
1990 W32,ADL-PER,First,123
1990 W33,ADL-PER,First,97
1990 W34,ADL-PER,First,99
1990 W35,ADL-PER,First,140
1990 W36,ADL-PER,First,135
1990 W37,ADL-PER,First,151
1990 W38,ADL-PER,First,59
1990 W39,ADL-PER,First,82
1990 W40,ADL-PER,First,131
1990 W41,ADL-PER,First,132
1990 W42,ADL-PER,First,160
1990 W43,ADL-PER,First,171
1990 W44,ADL-PER,First,164
1990 W45,ADL-PER,First,145
1990 W46,ADL-PER,First,140
1990 W47,ADL-PER,First,130
1990 W48,ADL-PER,First,156
1990 W49,ADL-PER,First,161
1990 W50,ADL-PER,First,125
1990 W51,ADL-PER,First,15
1990 W52,ADL-PER,First,41
1991 W01,ADL-PER,First,59
1991 W02,ADL-PER,First,81
1991 W03,ADL-PER,First,69
1991 W04,ADL-PER,First,89
1991 W05,ADL-PER,First,93
1991 W06,ADL-PER,First,136
1991 W07,ADL-PER,First,158
1991 W08,ADL-PER,First,139
1991 W09,ADL-PER,First,116
1991 W10,ADL-PER,First,122
1991 W11,ADL-PER,First,151
1991 W12,ADL-PER,First,79
1991 W13,ADL-PER,First,73
1991 W14,ADL-PER,First,126
1991 W15,ADL-PER,First,129
1991 W16,ADL-PER,First,69
1991 W17,ADL-PER,First,115
1991 W18,ADL-PER,First,101
1991 W19,ADL-PER,First,100
1991 W20,ADL-PER,First,106
1991 W21,ADL-PER,First,97
1991 W22,ADL-PER,First,65
1991 W23,ADL-PER,First,109
1991 W24,ADL-PER,First,104
1991 W25,ADL-PER,First,96
1991 W26,ADL-PER,First,58
1991 W27,ADL-PER,First,71
1991 W28,ADL-PER,First,79
1991 W29,ADL-PER,First,76
1991 W30,ADL-PER,First,70
1991 W31,ADL-PER,First,86
1991 W32,ADL-PER,First,91
1991 W33,ADL-PER,First,63
1991 W34,ADL-PER,First,79
1991 W35,ADL-PER,First,110
1991 W36,ADL-PER,First,70
1991 W37,ADL-PER,First,75
1991 W38,ADL-PER,First,91
1991 W39,ADL-PER,First,74
1991 W40,ADL-PER,First,76
1991 W41,ADL-PER,First,80
1991 W42,ADL-PER,First,117
1991 W43,ADL-PER,First,73
1991 W44,ADL-PER,First,99
1991 W45,ADL-PER,First,93
1991 W46,ADL-PER,First,61
1991 W47,ADL-PER,First,107
1991 W48,ADL-PER,First,65
1991 W49,ADL-PER,First,84
1991 W50,ADL-PER,First,101
1991 W51,ADL-PER,First,38
1991 W52,ADL-PER,First,43
1992 W01,ADL-PER,First,58
1992 W02,ADL-PER,First,75
1992 W03,ADL-PER,First,87
1992 W04,ADL-PER,First,61
1992 W05,ADL-PER,First,149
1992 W06,ADL-PER,First,228
1992 W07,ADL-PER,First,142
1992 W08,ADL-PER,First,175
1992 W09,ADL-PER,First,163
1992 W10,ADL-PER,First,192
1992 W11,ADL-PER,First,181
1992 W12,ADL-PER,First,321
1992 W13,ADL-PER,First,236
1992 W14,ADL-PER,First,252
1992 W15,ADL-PER,First,203
1992 W16,ADL-PER,First,195
1992 W17,ADL-PER,First,226
1992 W18,ADL-PER,First,218
1992 W19,ADL-PER,First,212
1992 W20,ADL-PER,First,231
1992 W21,ADL-PER,First,207
1992 W22,ADL-PER,First,160
1992 W23,ADL-PER,First,134
1992 W24,ADL-PER,First,155
1992 W25,ADL-PER,First,174
1992 W26,ADL-PER,First,153
1992 W27,ADL-PER,First,151
1992 W28,ADL-PER,First,134
1992 W29,ADL-PER,First,131
1992 W30,ADL-PER,First,142
1992 W31,ADL-PER,First,153
1992 W32,ADL-PER,First,110
1992 W33,ADL-PER,First,160
1992 W34,ADL-PER,First,158
1992 W35,ADL-PER,First,170
1992 W36,ADL-PER,First,146
1992 W37,ADL-PER,First,144
1992 W38,ADL-PER,First,113
1992 W39,ADL-PER,First,154
1992 W40,ADL-PER,First,139
1992 W41,ADL-PER,First,126
1992 W42,ADL-PER,First,145
1992 W43,ADL-PER,First,127
1992 W44,ADL-PER,First,117
1992 W45,ADL-PER,First,180
1992 W46,ADL-PER,First,146
1992 W47,ADL-PER,First,116
1989 W28,MEL-ADL,Business,423
1989 W29,MEL-ADL,Business,573
1989 W30,MEL-ADL,Business,603
1989 W31,MEL-ADL,Business,621
1989 W32,MEL-ADL,Business,514
1989 W33,MEL-ADL,Business,298
1989 W34,MEL-ADL,Business,0
1989 W35,MEL-ADL,Business,0
1989 W36,MEL-ADL,Business,0
1989 W37,MEL-ADL,Business,0
1989 W38,MEL-ADL,Business,0
1989 W39,MEL-ADL,Business,0
1989 W40,MEL-ADL,Business,0
1989 W41,MEL-ADL,Business,78
1989 W42,MEL-ADL,Business,31
1989 W43,MEL-ADL,Business,99
1989 W44,MEL-ADL,Business,109
1989 W45,MEL-ADL,Business,75
